tokens,address
22567481719936,reynisfjara
22486692334598,Cosmostation
15352852643115,Chorus One
14149238908506,Figment
13646090329933,Electric
6951238825176,Inotel
4849725817780,Multiplex
4783889763742,Imperator.co
4753321266477,Frog OSMO
4696121863886,Informal Systems
4608371378322,SG-1
4505438445500,🐠stake.fish
4337370224485,CryptoCrew Validators ✅
4245307221773,"Frens (🤝,🤝)"
4136116197540,01node
4065184430588,Sentinel dVPN
3944356390183,Allnodes
3932961190722,BouBouNode
3855037990574,Citadel.one
3813520619576,Zero Knowledge Validator (ZKV)
3781248534445,binary_holdings
3746222616250,Stakecito
3708283940588,PRYZM | Stake & Earn
3561396601722,wosmongton
3539779048450,Larry Engineer
3439624157219,polkachu.com
3345989045882,Chandra Station 
3291139128017,POSTHUMAN∞DVS
3202921291948,DSRV
3177628069776, Lavender.Five Nodes 🐝
3100322873691,ShapeShift DAO
3037432581860,Peregrine
3002049945028,tree-frog
2998324796352,OmniFlix Network
2916496497914,Node Guardians
2824453614040,Parakeet
2764266896584,S16 Research Ventures
2685503465920,White Marlin Staking
2662255025499,Bro_n_Bro
2609827273780,0base.vc
2502202352718,Ledger by Figment
2497382913130,Coinbase Cloud
2489163666670,Forbole
2427963067827,Cosmos Spaces ☮️💜⚛️
2358639640565,Provalidator
2314440987146,B-Harvest
2300805414418,interchain.FM🥩
2273993045013,Stakewolle.com |100% Insurance
2252303852772,Crypto Assassin
2251505967213,ECO Stake 🌱
2204974068853,StakeLab
2126206633959,Nocturnal Labs
2118482890858,Crosnest
2106062891460,#decentralizehk - DHK dao
2084559690637,iqlusion
2069762318439,Smart Stake 📈📊
1985163005784,Swiss Staking
1978212515492,nonce community
1968342987333,Interstellar Lounge 🍸
1962709493417,jabbey
1865265826374,Golden Ratio Staking
1797391832205,Cosmology
1772079130198,WhisperNode 🤐
1753123998142,Hathor Node
1726367417137,Stakely.io
1719395188958,Manythings
1647024867393,Klub Staking
1619712625970,strangelove-ventures
1606860693989,Leonoor's Cryptoman
1534351352546,Ping
1522488233782,ChainLayer
1514377184134, AutoStake 🛡️ Slash Protected
1508081857913,KDF
1505105833950,binance staking
1466974536625,a41
1453379118179,Silk Nodes
1438946589285,Interbloc
1431361022692,StakeWithUs
1379067785528,[ block pane ]
1377441772745,Atomic Nodes
1366247432011,Ethereal Ventures
1341163510734,Interop
1320144168003,Blockdaemon
1141984061533,The_Cybernetics
1124124344741,nonce classic
1098439453639,Chihuahua
1061866613300,PRO Delegators
1008128035542,Meria
995353672788,commercio.network
980392393102,Witval
957676457081,blockscape
935931554529,danku_zone w/ DAIC
908904410170,Chainflow
887671590202,Simply Staking
879115157470,Chill Validation
856847021280,[Beehive]🇰🇷
816108676084,"Stargaze.zone (✨,🔭)"
810525046835,🇨🇭 Vortex.live 🟢
800130254240,SmartNodes
760842968804,KalpaTech
751510738754,DAO DAO
748055623919,Oni ⛩️
740846742279,in3s.com
727199086227,Tessellated
684378903600,NosNode🔮
670989076410,validator.network
661374819690,AUDIT.one
649743958604,Tedcrypto.io 🧸 | TedLotto
631207628878,SpectrumX
629874071340,FreshSTAKING
627258171684,Cypher Core
614359102630,Uncle Ed
597763917166,Gelotto 🛡 Slash Protected
559029966276,stake.systems | autocompound
539207155527,Zenscape
519958066621,syncnode
501758840367,Bored Ape Server
460677788740,CrowdControl
452253572833,Merkan
451539930663,Astroquirks | Profit Sharing 🤑 💰
405904792126,ushakov
400909300525,Levana 🐉 Powered by Cros Nest
395161567691,Active Nodes
380565759497,Kintsugi Nodes
377337275332,kooltek68
375426630785,GATA DAO
320004995175,defiantlabs
317178872420,ztake.org
314434923714,Everstake
306278993562,Trust Nodes
287739556253,Obi
286388471849,Quebec
275088967298,dimi 🦙
273371429798,Dora Factory
265531154105,Komikuri
257328548747,TaxiStake
254564857500,16psyche
251665230238,DACM
238260856896,Bi23 Labs
238181460298,coinhall.org
235468480837,Oldcat
233344657934,Validatus
231745607323,artifact
227689350385,Coverlet
226862624438,AlphaNodes.OSMO
224235231129,Secure Secrets
223744820411,StakeThat - autorestake
220444122037,Coinpayu
217351950725,DELIGHT
197246094315,Mendel
