address,tokens,ip_address
Figment,279192884982825604,51.222.248.87
Blockdaemon,257979482800596767,208.91.107.169
Mysten-2,254001081790739285,136.244.64.220
Mysten-1,252086722912745181,45.63.91.154
Triton One,202904228261435250,202.8.8.8
P2P.ORG,202877873696266220,212.117.185.244
Anchorage Digital-2,188510490482416308,136.243.55.238
TrustedPoint,180805978799530512,45.250.253.74
Luganodes,170049563039252878,93.115.25.174
Chorus One,160295327985395258,46.165.244.19
Blockscope.net,156161694109491710,15.235.82.231
Kiln,148438509943292213,57.128.73.31
Bware Labs,147774419238370060,141.95.34.55
Overclock,142726037183769127,84.17.53.103
Everstake,142469437629780900,45.250.254.103
Dankuzone_w_DAIC,139059600335447514,37.252.184.226
Ahoy Validator,138270277378296405,103.50.32.109
DSRV,136431194735645025,141.95.171.152
mrgn,130733206690676325,141.98.216.164
Chainode Tech,122453043973791732,103.50.32.114
ContributionDAO,121541766171153647,141.95.99.142
Aftermath,118925308436843177,57.128.47.71
BartestneT,118748452388005021,45.250.253.76
Galaxy Digital,118215927634868832,52.215.11.218
Durian,114195425671993808,13.229.58.139
Persimmon,114183466537929530,35.74.25.246
Scale3Labs,108347403595603628,45.250.254.151
n1stake,105093840988245786,173.231.17.194
Staketab,103681339482420086,103.50.32.107
HashedPotatoes,103215463018924394,69.67.149.35
Cosmostation,97761241135381523,172.255.251.44
Artifact,93225201627107489,206.125.33.6
Coinbase Cloud,92269945418029490,3.249.94.146
Chainbase,89234945614273599,43.154.164.179
01node,88426737453339985,195.14.6.175
P-OPS Team,87612749641538045,185.8.104.19
TPT,87432379781115401,161.97.131.71
Laine,83172772021098302,103.50.32.184
KingSuper,81139933495991370,139.84.139.8
BlockVision,80503827238074826,34.87.103.163
RepublicCrypto,77822297220570562,91.210.226.206
KiligLab,76171531782833137,8.213.144.236
Stardust Staking,75402009084013760,93.115.25.67
ORBR,75163999582068109,78.141.245.48
Chainflow,74397587584212002,185.8.104.18
Restake,72629671058799520,103.219.171.17
ONBUFF,70999666723505966,52.231.106.71
Nodeinfra,68856750937009343,34.80.99.216
Staking Facilities,65206101838014339,5.199.170.77
StakingCabin,62463881870340213,54.64.235.237
OKXEarn,62263472952090013,43.207.255.138
Citadel.one,62193818190393786,141.94.137.186
Stakin,57917118828321914,93.115.25.75
MoveFuns DAO,57823329421293260,135.181.228.230
stakefish,52373187983856388,147.75.199.7
proofgroup,47058706743303461,207.53.234.207
Ankr,45409270416094411,107.6.94.244
Allnodes,44942366628398155,169.155.45.15
Cypher Capital,44426659910870593,69.2.39.165
Shinlabs,43384200988533223,43.130.123.214
BiXinKelePool,42617024116051702,47.89.250.58
Staking Defense League,42019375757320505,188.214.129.144
Nelrann,41007596895192072,185.209.178.171
Gaucho,38806961666644511,45.250.253.97
StakeWithUs,38700492649454904,178.18.252.36
Cogent Crypto,38110030889759553,45.250.254.99
Juicy Stake,37938764120376397,69.2.39.167
Brightlystake,37397265733644576,139.84.155.177
BlockEden.xyz,37332857110713677,34.143.153.196
Staked,37327174250684774,54.195.211.175
Nodes.Guru,36608831272296513,141.95.99.90
Peeranha,36391019378890589,45.250.253.92
SyncNode,36325092153079018,103.50.32.122
Swiss Staking,36155165498966472,82.220.39.51
Imperator.co,36110803126087277,57.128.97.53
Neuler,36054119291029690,103.219.171.15
B-Harvest,36048111358650582,198.13.34.226
SynergyNodes,36047014789596172,194.48.168.246
Astro-Stakers,36045094266743166,195.189.96.115
ANodes,36036122116108484,8.217.239.246
[NODERS]TEAM x Criterion VC,36015569367522543,149.28.137.164
Omnistake,32996776707678171,44.230.61.141
Anchorage Digital-1,31065771102732179,198.244.253.76
ZKValidator,30486697647505050,65.21.128.113
Stakely,29650676506517001,15.235.53.140
InfStones,28938335835717760,150.136.151.212
XPRV,28754112799600985,54.38.136.66
Parasol,28353662802824766,43.130.125.249
gumi,28329877404037522,13.230.215.202
ComingChat,28148657831291507,45.32.11.180
QuantNode,27928262733557846,103.50.32.129
Moonlet,27928139191767712,103.219.171.14
HashKey Cloud,27927260095536643,52.77.43.187
Node Guardians,27913006313178280,51.222.152.21
NodeReal,27902322837106227,54.152.222.161
BLRD,27896775366795026,35.77.209.41
SpartanLabs,27861580672991781,5.199.170.96
TDMTech,27858889915826369,109.123.108.59
Forbole,27853362265752807,5.10.24.66
H2O Nodes,27806588160798465,185.125.95.23
A41,27802176932768860,195.201.186.66
SenseiNode,27626711629601321,69.67.148.48
MIDL.dev,26995796419057736,62.210.140.115
Latitude.sh,26766675701615836,103.219.168.185
flipside,20827375746899460,198.178.224.97
Qredo,20756635777779378,65.108.111.57
