address,tokens,ip_address
Figment,282233306071370409,51.222.248.87
Blockdaemon,254700294322376008,208.91.107.169
Mysten-2,249556863286728148,136.244.64.220
P2P.ORG,222244236463283284,212.117.185.244
Luganodes,206412375135086177,93.115.25.174
Triton One,201139393731650770,202.8.8.8
Anchorage Digital-2,187931619823206075,136.243.55.238
Chorus One,181911271016675370,46.165.244.19
TrustedPoint,179640092760705579,45.250.253.74
Mysten-1,161289256609318578,45.63.91.154
ContributionDAO,157334388041566495,141.95.99.142
Blockscope.net,155616809921919546,15.235.82.231
StakingCabin,155327454956720113,54.64.235.237
Kiln,148872766553084009,57.128.73.31
Bware Labs,147281515135858074,141.95.34.55
mrgn,144727290248666344,141.98.216.164
Chainode Tech,142342247249209962,103.50.32.114
Everstake,142291828315077248,45.250.254.103
Overclock,142227508299943084,45.250.253.99
Shinlabs,141650857087589695,43.130.123.214
Artifact,138605116064216842,206.125.33.6
Dankuzone_w_DAIC,138562305723561310,37.252.184.226
Galaxy Digital,138544273855510873,52.215.11.218
Nelrann,138250879012214832,185.209.178.171
Ahoy Validator,137812493344847717,103.50.32.109
DSRV,135965189094034442,141.95.171.152
HashedPotatoes,127015932438121790,69.67.149.35
Chainbase,118404804540497789,43.154.164.179
Nodes.Guru,118361331625572794,141.95.99.90
P-OPS Team,118341199414450826,185.8.104.19
BartestneT,118340623621777925,45.250.253.76
TPT,118195880422881180,18.246.8.19
Aftermath,115347257334210935,57.128.47.71
Persimmon,114029322944862799,35.74.25.246
Durian,113801466535679844,13.229.58.139
Citadel.one,108240748132654658,141.94.137.186
Scale3Labs,107959083518541784,45.250.254.151
Cogent Crypto,94822851092751734,45.250.254.99
Coinbase Cloud,91835765666985240,3.249.94.146
BlockVision,65591769096288786,34.87.103.163
Staking Facilities,65211179740529207,5.199.170.77
OKXEarn,55650962900932373,43.207.255.138
ORBR,53545851393959177,78.141.245.48
stakefish,49602857164212360,147.75.199.7
Juicy Stake,48087275637586947,45.250.253.84
proofgroup,46896232452310241,207.53.234.207
KiligLab,46011846248743966,8.213.144.236
Allnodes,44615201814873654,169.155.45.15
Cypher Capital,44283404963045274,45.250.253.95
BiXinKelePool,42479482836695591,47.89.250.58
Staking Defense League,41885140388867886,188.214.129.144
n1stake,39948361262406345,173.231.17.194
Ankr,38833814828585460,107.6.94.244
StakeWithUs,38539229623996396,178.18.252.36
Staked,37291749883652388,54.195.211.175
Brightlystake,37275225325830376,139.84.155.177
BlockEden.xyz,37200947074659051,34.143.153.196
Cosmostation,36285869336845598,172.255.251.44
Peeranha,36263046891813825,45.250.253.92
SyncNode,36177347477848207,103.50.32.122
01node,36106619711821101,195.14.6.175
Stardust Staking,36012458956835472,93.115.25.67
Swiss Staking,35999850055160872,82.220.39.51
ONBUFF,35995266986212781,52.231.106.71
Imperator.co,35994193893940351,57.128.97.53
B-Harvest,35990313107858935,198.13.34.226
KingSuper,35974647077972427,139.84.139.8
Restake,35938120845245247,103.219.171.17
SynergyNodes,35933363536746650,194.48.168.246
Neuler,35927344193145290,103.219.171.15
Astro-Stakers,35925891412166708,195.189.96.115
ANodes,35914859341209425,8.218.16.91
[NODERS]TEAM x Criterion VC,35905642101586329,149.28.137.164
Chainflow,32929703366762354,185.8.104.18
Omnistake,32877671358523790,52.37.215.5
Anchorage Digital-1,30957368132430923,198.244.253.76
ZKValidator,30374183240863104,37.27.62.100
Stakely,29509567632823282,15.235.53.140
XPRV,28657035844293661,54.38.136.66
InfStones,28391024822025854,150.136.151.212
Parasol,28263850786002468,43.130.125.249
gumi,28259279229751178,13.230.215.202
Laine,28061119390107445,103.50.32.184
QuantNode,27828672208546370,103.50.32.129
Moonlet,27826487331670666,103.219.171.14
SpartanLabs,27822702173129591,5.199.170.96
HashKey Cloud,27817872013198838,52.77.43.187
Stakin,27807128258420992,93.115.25.75
flipside,27806912318666234,198.178.224.97
BLRD,27800591380334472,35.77.209.41
NodeReal,27796635938560920,54.152.222.161
Staketab,27787804432505638,103.50.32.107
TDMTech,27785105502323477,109.123.108.59
Node Guardians,27762961642108892,51.222.152.21
ComingChat,27752435635599461,45.32.11.180
Forbole,27750750123270875,5.10.24.66
Nodeinfra,27725772616586117,34.80.99.216
MoveFuns DAO,27723288963928011,135.181.228.230
Gaucho,27721545747697734,45.250.253.97
A41,27720722297326810,195.201.186.66
H2O Nodes,27712864924914497,185.125.95.23
Qredo,27709255756202014,65.108.111.57
RepublicCrypto,27584918777820038,91.210.226.206
SenseiNode,27524918334925351,69.67.148.48
MIDL.dev,26836523778129690,62.210.140.115
Latitude.sh,26682521880587270,103.219.168.185
