address,tokens,ip_address
Figment,278642180447189787,51.222.248.87
Mysten-2,253273946871898626,136.244.64.220
Mysten-1,250182562033138274,45.63.91.154
Blockdaemon,237469977759930640,208.91.107.169
Triton One,203013199083295485,202.8.8.8
P2P.ORG,198905105193428989,212.117.185.244
Anchorage Digital-2,186248524671883815,136.243.55.238
Luganodes,172210377735124703,93.115.25.174
Chorus One,161324997865411941,46.165.244.19
TrustedPoint,154947364988584671,45.250.253.74
Overclock,142821899272245866,84.17.53.103
DSRV,136519831583608447,141.95.171.152
BlockVision,133567523531351878,34.87.103.163
mrgn,130664263636431507,141.98.216.164
Ahoy Validator,127977766906498042,103.50.32.109
Kiln,127679945880621573,57.128.73.31
Everstake,127000212630388675,45.250.254.103
Blockscope.net,125101996785750206,15.235.82.231
Staketab,123748863521415240,103.50.32.107
Chainode Tech,122494536017057245,103.50.32.114
ContributionDAO,121629340844272107,141.95.99.142
Aftermath,119633660840891750,57.128.47.71
BartestneT,118832523312632098,45.250.253.76
Cosmostation,118529673683815181,172.255.251.44
Galaxy Digital,118316663399299381,52.215.11.218
MoveFuns DAO,117869543580659871,135.181.228.230
n1stake,115157343946857739,173.231.17.194
Durian,114252391423208738,47.128.225.39
Persimmon,113833687035204400,35.74.236.77
HashedPotatoes,103471805349671902,69.67.149.35
Bware Labs,95922212341009496,141.95.34.55
Nodeinfra,93896354588152214,34.80.99.216
Artifact,93638312842686480,206.125.33.6
Coinbase Cloud,91989789350802948,3.255.91.24
01node,88487808215869418,195.14.6.175
P-OPS Team,87708631517464035,185.8.104.19
TPT,87490274821482359,161.97.131.71
Dankuzone_w_DAIC,87199291496841768,37.252.184.226
RepublicCrypto,86864707229282817,91.210.226.206
Laine,83228459290922542,103.50.32.184
Stakin,82962273910089324,93.115.25.75
Staking Defense League,82050483326540329,188.214.129.144
KingSuper,81195199933072051,139.84.139.8
ChainIDE,81069998518334410,8.217.239.246
KiligLab,79958153068619538,8.213.144.236
MIDL.dev,77019851183873997,62.210.140.115
ORBR,75605944982823196,78.141.245.48
Stardust Staking,75468867913026834,93.115.25.67
Chainflow,74448761881572421,185.8.104.18
Restake,72670247844592616,103.219.171.17
ONBUFF,71047986339785456,52.231.106.71
Staking Facilities,65258025310390131,5.199.170.77
StakingCabin,62896995741357380,54.64.235.237
OKXEarn,62764390427360165,43.207.255.138
Citadel.one,62594755982633378,141.94.137.186
Scale3Labs,61689003298548322,45.250.254.151
stakefish,51605232133639618,147.75.199.7
proofgroup,46774395417985548,207.53.234.207
Allnodes,44932554942141044,169.155.45.15
Ankr,44693572655986393,107.6.94.244
Cypher Capital,44453959482455520,69.2.39.165
Shinlabs,43415206187661127,43.130.123.214
BiXinKelePool,42644802442000644,47.89.250.58
Nelrann,41037609262440548,185.209.178.171
Gaucho,38833785262210227,45.250.253.97
StakeWithUs,38731940927386528,178.18.252.36
Chainbase,38600044671989909,43.154.164.179
Cogent Crypto,38484207103136860,45.250.254.99
ComingChat,38374473525449181,45.32.11.180
Juicy Stake,37983106195731114,69.2.39.167
Brightlystake,37422671934177966,139.84.155.177
BlockEden.xyz,37356944741879128,34.143.153.196
Staked,37348901110678667,54.195.211.175
Nodes.Guru,36629843554427194,141.95.99.90
Peeranha,36415508325172492,45.250.253.92
SyncNode,36354759852049586,103.50.32.122
Swiss Staking,36184931608233505,82.220.39.51
Imperator.co,36128924861367568,57.128.97.53
Neuler,36074146006532185,103.219.171.15
B-Harvest,36073600817931702,198.13.34.226
SynergyNodes,36070143215441219,194.48.168.246
Astro-Stakers,36066314240550430,195.189.96.115
[NODERS]TEAM x Criterion VC,36037243720387420,149.28.137.164
Omnistake,33017732602103183,44.230.61.141
Anchorage Digital-1,31086882897687606,198.244.253.76
ZKValidator,30507417660306023,65.21.128.113
Stakely,29667359390356435,15.235.53.140
InfStones,29019078667442338,150.136.151.212
XPRV,28773446002850132,54.38.136.66
Parasol,28372997714729314,43.130.125.249
gumi,28349434768381757,13.230.215.202
Moonlet,27947643844708748,103.219.171.14
QuantNode,27945109769005034,103.50.32.129
HashKey Cloud,27943458729401663,52.77.43.187
Node Guardians,27933636618248617,51.222.152.21
NodeReal,27922453787523792,54.152.222.161
BLRD,27915428304597696,35.77.209.41
SpartanLabs,27882336001414049,5.199.170.96
TDMTech,27877953132934623,109.123.108.59
Forbole,27870105619459311,5.10.24.66
H2O Nodes,27823387726427687,185.125.95.23
A41,27813746614676399,195.201.186.66
SenseiNode,27645371311155661,69.67.148.48
Latitude.sh,26784343706985510,103.219.168.185
