address,tokens
Luganodes,360125760
Binance Node,359838621
Twinstake,330888606
Web3Nodes Validator 🌎 0% fee,207589735
Synclub,196613310
Anonymous 93,182690592
Allnodes ⚡️ 0% fee,170255110
Coinbase Cloud,144203135
Vault Staking,129669643
Anonymous 94,126371908
Figment,109384531
Stakin,99990473
Kiln x Ownest 🔸 Pro Staking 🔸,71217712
Republic Crypto / Source,66417263
Blockdaemon,62529139
Anonymous 91,58568176
Staked,52504345
Matic Fans,50630867
SelfLiquidity,49843437
Everstake 0% fee,49335046
Upbit Staking,45840007
Staking4all - 0% fee,43816840
Girnaar Nodes,35455044
The Abyss (0% commission),21431953
Infosys,20582669
Anonymous 92,20130159
bountyblok 0% fee,20055831
Supermoon,19098020
Witval,18382959
Smart Stake,17579575
Prometheus Pool,15682392
HashKey Cloud,15509071
Worldpay from FIS,14819602
Bware Labs,13856632
Matrix Stake,13763765
kytzu,13506763
Abyss Finance 🔥 0% fee,12799617
InfStones,12292306
StakePool,12209502
Shard Labs,12163002
DSRV,11622825
Newroad Network,11100636
🐠 stake.fish,10164198
Stake Capital,10000564
Blue Ocean,9041684
Meria,8793658
Vader73 - 0% commission for life,6727151
Fahrenheit ❄️ 0%,6648784
Sakura Foundation,6596513
Making.cash | Long term fee 0%,5593206
Perfect Stake 🥩,5574167
Chorus One,5422787
PolygonGo,5234655
SolidStake,5147864
Valis Labs,4962694
Deutsche Telekom,4785788
algo | stake,4678535
ANON LowFee,4279564
WolfEdge Capital,4087572
Nobi,4056721
Chainflow,3308545
EMC2 Node,3179128
A41,2794086
Stake.Works,2721344
Rasputin,2511840
FreshSTAKING,2367498
Proton Gaming,2293595
VC Capital,2115949
Data Nexus,2083427
CheckBit,1758468
Deepheat,1665432
StakeBaby,1595306
Streamr,1592863
Coinstash,1485406
MCLB & fBOMB,1473699
Azuki Validator,1408250
AnkrValidator,1331054
DeFiMatic,1233745
PathrockNetwork,1230109
P2P.org,1211085
Tessellated,1196902
BCW Technologies,1149137
Atlas Staking,1042925
StakeCraft,1031028
BLRD,1027990
Blockchain Superheroes,898876
Wetez,891936
Blocks United,825010
Cryptonomicon,601873
MyCointainer.com,539953
Mind Heart Soul,457683
Masternode24.de,408428
Northstake,378532
Torus Validator,373251
stake.new,232667
Galacticans,230360
Anonymous 112,135864
Blockops,79344
🍒 RYABINA 🍒,32346
NEOPIN,30002
Validatrium,23305
Simply Staking,10901
Google Cloud,10155
Finoa Consensus Services,10005
Mantra DAO,1
