tokens,address
22571316960259,reynisfjara
21308245582365,Cosmostation
13559965050643,Electric
12590011994026,Chorus One
11421735738475,Figment
6187115496840,Inotel
4838105936794,Notional
4815296587830,SG-1
4719750965720,Frog OSMO
4379802797887,Imperator.co
4345957565820,"Frens (🤝,🤝)"
4279215229756,polkachu.com
4089976254954,Sentinel dVPN
4021490309557,🐠stake.fish
3930428365789,CryptoCrew Validators ✅
3858433652790,BouBouNode
3810862843813,binary_holdings
3810739400403,Zero Knowledge Validator (ZKV)
3800009225576,Citadel.one
3797816523794,01node
3636363345405,Stakecito
3579069613783,Allnodes
3540153419831,Larry Engineer
3502095722373,PRYZM | Stake & Earn
3483984381397,wosmongton
3383868414670,Informal Systems
3262194985415,POSTHUMAN∞DVS
3186634736318,Chandra Station 
3140500225981,DSRV
3037501832929,Peregrine
3002145606459,tree-frog
2956439103425,OmniFlix Network
2938133748515, Lavender.Five Nodes 🐝
2879739051483,Node Guardians
2824721572778,Parakeet
2806960005782,ShapeShift DAO
2683335528872,White Marlin Staking
2674329874563,S16 Research Ventures
2664336932586,0base.vc
2577328428041,Coinbase Cloud
2562201048707,Bro_n_Bro
2447499842976,Ledger by Figment
2425353655182,Forbole
2397670056098,iqlusion
2351943088124,B-Harvest
2327561668894,Provalidator
2297767131651,interchain.FM🥩
2243447477086,StakeLab
2225141463970,Cosmos Spaces ☮️💜⚛️
2204864855212,Stakewolle.com |100% Insurance
2183036526998,#decentralizehk - DHK dao
2129393229003,Crypto Assassin
2124760925138,Nocturnal Labs
2091289813327,ECO Stake 🌱
2029544878352,Crosnest
2002416431613,Smart Stake 📈📊
1975622591082,nonce community
1924844207418,jabbey
1804479241791,Golden Ratio Staking
1794994895005,Hathor Node
1793241917743,Cosmology
1768436552663,Swiss Staking
1712586277050,Manythings
1712401320506,Klub Staking
1700558060425,   WhisperNode🤐
1661675368884,Stakely.io
1645199874445,strangelove-ventures
1570987968430,Leonoor's Cryptoman
1549596146599,ChainLayer
1541810864140,Ping
1511127578916,KDF
1506197685671,binance staking
1407278290578,Silk Nodes
1391274345963,Atomic Nodes
1383999055973,[ block pane ]
1372642143028, AutoStake 🛡️ Slash Protected
1365905974639,Ethereal Ventures
1361250886654,Interbloc
1359555163861,StakeWithUs
1328127105352,Blockdaemon
1200069306490,Interop
1133269768696,commercio.network
1123328605156,nonce classic
1116909570015,danku_zone w/ DAIC
1106006868054,Chihuahua
1091903358729,The_Cybernetics
995741883592,Meria
965164931851,Multiplex
949491261198,blockscape
900889623850,Chill Validation
883595211240,PRO Delegators
882387717996,Chainflow
872907030016,DAO DAO
867591787699,[Beehive]🇰🇷
849865783076,Witval
838271367165,Simply Staking
833681406150,Interstellar 🍸
823107818175,🇨🇭 Vortex.live 🟢
817000454303,"Stargaze.zone (✨,🔭)"
809037916005,SmartNodes
783150916910,Oni ⛩️
766483756090,in3s.com
762199641078,KalpaTech
736495114841,Tessellated
689106687470,NosNode🔮
668504711844,validator.network
663338631195,AUDIT.one
629521207306,SpectrumX
619997063551,Cypher Core
612017668865,Uncle Ed
594944383002,stake.systems | autocompound
594500269111,FreshSTAKING
593595017058,Tedcrypto.io 🧸 | TedLotto
585781752747,Gelotto 🛡 Slash Protected
544055683160,Zenscape
531983132540,syncnode
498673228292,Bored Ape Server
479139863930,Astroquirks | Profit Sharing 🤑 💰
461907081432,CrowdControl
444571784803,Merkan
431925043508,ushakov
403492291288,Active Nodes
390749158806,Kintsugi Nodes
380630728318,Levana 🐉 Powered by Cros Nest
376142531953,GATA DAO
376013126603,kooltek68
319883602589,defiantlabs
317140653081,ztake.org
286353344482,Quebec
284444200259,Obi
280716873488,dimi 🦙
273315798329,Dora Factory
265712159535,Komikuri
258577721438,Everstake
257532928692,DACM
255898170809,TaxiStake
248316863216,16psyche
239312737413,coinhall.org
238178821396,Bi23 Labs
236094679480,Coverlet
234712605846,Oldcat
233724766260,StakeThat - autorestake
233100295730,Validatus
232969269017,artifact
227870381589,AlphaNodes.OSMO
222695207923,Secure Secrets
216240854670,Coinpayu
216180580242,DELIGHT
193058025876,Staking Fund
191636369106,a41
