address,tokens,ip_address
Mysten-1,258034634311629231,45.63.91.154
Blockdaemon,255421375643810688,208.91.107.169
Mysten-2,253316057118095672,136.244.64.220
Figment,240449288026649598,51.222.248.87
P2P.ORG,218560328034738233,212.117.185.244
Triton One,201903471650702156,202.8.8.8
Luganodes,194911714448341576,93.115.25.174
Anchorage Digital-2,188205789495521612,136.243.55.238
Chorus One,183097898969803068,46.165.244.19
TrustedPoint,180209280737793411,45.250.253.74
ContributionDAO,157584834756136929,141.95.99.142
Blockscope.net,155855128103125855,15.235.82.231
StakingCabin,151907254829204828,54.64.235.237
Kiln,148913534245907087,57.128.73.31
Bware Labs,147487118449999351,141.95.34.55
mrgn,145623987017405857,141.98.216.164
Chainode Tech,142684986725454503,103.50.32.114
Everstake,142541016627561892,45.250.254.103
Overclock,142436259183035250,45.250.253.99
Artifact,139231515466237834,206.125.33.6
Dankuzone_w_DAIC,138779529246090118,37.252.184.226
Galaxy Digital,138741445343781342,52.215.11.218
Nelrann,138453441406606961,185.209.178.171
Ahoy Validator,138002351637955180,103.50.32.109
DSRV,136153630031991469,141.95.171.152
HashedPotatoes,133636303501109686,69.67.149.35
Chainbase,118575747707361699,43.154.164.179
BartestneT,118512018208107125,45.250.253.76
P-OPS Team,118504324687394288,185.8.104.19
Nodes.Guru,118503239843876031,141.95.99.90
TPT,118347058564091172,161.97.131.71
Aftermath,117687535744165416,57.128.47.71
Durian,113969348801676444,13.229.58.139
Persimmon,113957612915556734,35.74.25.246
Citadel.one,108461268983105646,141.94.137.186
Scale3Labs,108121077511307721,45.250.254.151
Cogent Crypto,94955606461091018,45.250.254.99
Coinbase Cloud,91924059669298750,3.249.94.146
BlockVision,65484410732076918,34.87.103.163
Staking Facilities,65318466270486771,5.199.170.77
OKXEarn,60149650277828139,43.207.255.138
ORBR,54553046434294728,78.141.245.48
Shinlabs,49954935422703644,43.130.123.214
Juicy Stake,48158075246063956,69.2.39.167
stakefish,47945975951023928,147.75.199.7
Ankr,47526727688597649,107.6.94.244
proofgroup,46970823846429879,207.53.234.207
KiligLab,46072683582195268,8.213.144.236
Allnodes,44775716701318056,169.155.45.15
Cypher Capital,44342856114541063,69.2.39.165
Cosmostation,44321628154219988,172.255.251.44
BiXinKelePool,42536865220711515,47.89.250.58
Staking Defense League,41943734143784710,188.214.129.144
n1stake,39995857192502222,173.231.17.194
StakeWithUs,38616243743004313,178.18.252.36
Staked,37352680035955182,54.195.211.175
Brightlystake,37334550368053398,139.84.155.177
BlockEden.xyz,37259557633449009,34.143.153.196
Peeranha,36322063474216875,45.250.253.92
SyncNode,36228507756392723,103.50.32.122
01node,36118750334757843,195.14.6.175
Stardust Staking,36075381790842714,93.115.25.67
Imperator.co,36065766708574055,57.128.97.53
Swiss Staking,36063371130415918,82.220.39.51
B-Harvest,36050181762281842,198.13.34.226
ONBUFF,36046849283167113,52.231.106.71
KingSuper,36035399378418407,139.84.139.8
Restake,35988824060824714,103.219.171.17
Neuler,35988655728063601,103.219.171.15
SynergyNodes,35981246684470099,194.48.168.246
Astro-Stakers,35976494592548916,195.189.96.115
ANodes,35969266512673672,8.218.16.91
[NODERS]TEAM x Criterion VC,35952375676318931,149.28.137.164
Chainflow,32980245760283122,185.8.104.18
Omnistake,32925126319294342,44.230.61.141
Anchorage Digital-1,31004795790403819,198.244.253.76
ZKValidator,30423308838242617,65.21.128.113
Stakely,29579111448095901,15.235.53.140
XPRV,28698386812413715,54.38.136.66
InfStones,28468089739063852,150.136.151.212
gumi,28303931304169540,13.230.215.202
Parasol,28303826662329040,43.130.125.249
Laine,28100442483709273,103.50.32.184
HashKey Cloud,27873702992515904,52.77.43.187
Moonlet,27870737886599700,103.219.171.14
SpartanLabs,27870682854730604,5.199.170.96
QuantNode,27867679691793401,103.50.32.129
Stakin,27848788314093127,93.115.25.75
NodeReal,27844539262129482,54.152.222.161
flipside,27843520202406710,198.178.224.97
Node Guardians,27843016050072931,51.222.152.21
BLRD,27842260890959588,35.77.209.41
TDMTech,27826160046416909,109.123.108.59
Staketab,27804753341948289,103.50.32.107
Forbole,27796686543682487,5.10.24.66
ComingChat,27782414766415104,45.32.11.180
Gaucho,27765545144963981,45.250.253.97
MoveFuns DAO,27762959813350471,135.181.228.230
Qredo,27758018552103160,65.108.111.57
H2O Nodes,27755109991963563,185.125.95.23
A41,27749146839959678,195.201.186.66
Nodeinfra,27728854771878740,34.80.99.216
RepublicCrypto,27619738432462769,91.210.226.206
SenseiNode,27569804908763008,69.67.148.48
MIDL.dev,26877077885326419,62.210.140.115
Latitude.sh,26717826065885879,103.219.168.185
