address,tokens
Luganodes,364370954
Binance Node,359834984
Web3Nodes Validator 🌎 0% fee,298990487
Allnodes ⚡️ 0% fee,224314775
Coinbase Cloud,197718963
Synclub,196560550
Anonymous 93,182680282
Vault Staking,164437216
Twinstake,150607467
Anonymous 94,126370142
Figment,107917707
Stakin,101073470
Anonymous 91,78780629
Anonymous 92,72962423
Blockdaemon,62607063
Kiln x Ownest 🔸 Pro Staking 🔸,58876457
SelfLiquidity,53877441
Republic Crypto / Source,52354171
Staked,51638759
Matic Fans,50632968
Staking4all - 0% fee,41508579
Everstake 0% fee,37860557
Girnaar Nodes,32975984
Upbit Staking,24200001
Infosys,20880187
bountyblok 0% fee,19876144
Supermoon,18530304
Witval,18372117
Smart Stake,17407078
Prometheus Pool,16534213
StakePool,15835739
Worldpay from FIS,14821593
HashQuark,14672013
InfStones,14235098
Bware Labs,13573238
Matrix Stake,13346426
kytzu,13296148
Shard Labs,13295175
Abyss Finance 🔥 0% fee,13158856
DSRV,12765125
Newroad Network,11181913
🐠 stake.fish,10129204
Stake Capital,10000692
Blue Ocean,9445447
Meria,8561472
Vader73 - 0% commission for life,7074157
The Abyss (0% commission),6993862
Fahrenheit ❄️ 0%,6717635
Sakura Foundation,6707634
Making.cash | Long term fee 0%,5711593
Deutsche Telekom,5349263
PolygonGo,5331761
SolidStake,5145973
Valis Labs,4964348
Chorus One,4662073
Perfect Stake 🥩,4638410
WolfEdge Capital,4100445
Nobi,4063757
EMC2 Node,3828954
A41,3401086
Chainflow,3324423
algo | stake,3283764
ANON LowFee,3177783
CheckBit,2536048
Rasputin,2527909
FreshSTAKING,2367473
VC Capital,2350179
Proton Gaming,2294164
Stake.Works,2283460
Data Nexus,2079446
Streamr,1720690
Deepheat,1671849
Wetez,1671149
Azuki Validator,1613249
StakeBaby,1595716
MCLB & fBOMB,1564072
Coinstash,1465883
Tavis Digital,1415542
AnkrValidator,1330186
DeFiMatic,1287878
Atlas Staking,1116019
BCW Technologies,1107837
PathrockNetwork,1092969
Zee Prime Labs,1047644
Tessellated,1033601
BLRD,1023916
Blocks United,1000308
Blockchain Superheroes,917901
MyCointainer.com,649683
Cryptonomicon,630665
Mind Heart Soul,485762
Masternode24.de,424222
Northstake,378084
Torus Validator,373251
Galacticans,239809
stake.new,228958
Anonymous 112,143657
P2P.org,109915
Blockops,79202
StakeCraft,31028
NEOPIN,30002
NEXON BLOCK,16719
Google Cloud,11868
Validatrium,6801
Mantra DAO,1
