address,tokens
Luganodes,362949098
Binance Node,359860674
Twinstake,270867568
Web3Nodes Validator 🌎 0% fee,264545659
Synclub,196607679
Anonymous 93,182680282
Allnodes ⚡️ 0% fee,170890226
Vault Staking,129319236
Coinbase Cloud,127116882
Anonymous 94,126371908
Figment,109631848
Stakin,100107486
Kiln x Ownest 🔸 Pro Staking 🔸,70860755
Republic Crypto / Source,66417044
Blockdaemon,63075753
Anonymous 91,58552943
Staked,50987896
Matic Fans,50621779
SelfLiquidity,49845613
Upbit Staking,46600001
Everstake 0% fee,46285878
Staking4all - 0% fee,40546453
Girnaar Nodes,37020066
Infosys,20374366
Anonymous 92,20130159
bountyblok 0% fee,20016988
Supermoon,18986722
Witval,18382959
Smart Stake,17483106
The Abyss (0% commission),16795661
Prometheus Pool,16322405
StakePool,15998810
InfStones,14963366
Worldpay from FIS,14822354
HashQuark,14764668
Bware Labs,13658914
Matrix Stake,13596017
Shard Labs,13430798
kytzu,13343678
Abyss Finance 🔥 0% fee,13217580
DSRV,12912212
Newroad Network,11111032
🐠 stake.fish,10234267
Stake Capital,10000112
Blue Ocean,9050996
Meria,8681422
Sakura Foundation,6765797
Vader73 - 0% commission for life,6748685
Fahrenheit ❄️ 0%,6641555
Making.cash | Long term fee 0%,5622049
Chorus One,5337620
PolygonGo,5336924
Perfect Stake 🥩,5272426
SolidStake,5146104
Valis Labs,4962150
Deutsche Telekom,4929924
algo | stake,4234350
WolfEdge Capital,4091190
Nobi,4068696
EMC2 Node,3563516
ANON LowFee,3404094
A41,3400286
Chainflow,3290682
Stake.Works,2412942
Rasputin,2370802
FreshSTAKING,2367498
Proton Gaming,2293595
VC Capital,2166664
Data Nexus,2083427
CheckBit,1753013
Deepheat,1676457
Azuki Validator,1599618
Streamr,1595938
StakeBaby,1582706
Coinstash,1498060
MCLB & fBOMB,1476945
AnkrValidator,1258194
DeFiMatic,1234379
PathrockNetwork,1224683
BCW Technologies,1149137
Tessellated,1133142
P2P.org,1131407
Atlas Staking,1064572
StakeCraft,1031028
BLRD,1027990
Blockchain Superheroes,900768
Wetez,891556
Blocks United,831271
Cryptonomicon,603807
MyCointainer.com,542759
Mind Heart Soul,457533
Masternode24.de,417708
Northstake,378532
Torus Validator,373251
stake.new,232388
Galacticans,229911
Anonymous 112,135606
Blockops,79344
NEOPIN,30002
🍒 RYABINA 🍒,27199
Validatrium,23305
Google Cloud,11922
Simply Staking,10501
Finoa Consensus Services,10005
Mantra DAO,1
