address,tokens
Luganodes,362955168
Binance Node,359767872
Twinstake,270523371
Web3Nodes Validator 🌎 0% fee,264603790
Allnodes ⚡️ 0% fee,223420834
Synclub,196609152
Anonymous 93,182680282
Vault Staking,129244456
Anonymous 94,126370668
Figment,108239762
Stakin,100246723
Coinbase Cloud,79147084
Kiln x Ownest 🔸 Pro Staking 🔸,69518505
Republic Crypto / Source,66417044
Blockdaemon,63077287
Anonymous 91,58573643
Staked,52174902
SelfLiquidity,50692018
Matic Fans,50627612
Staking4all - 0% fee,40938365
Everstake 0% fee,38442568
Upbit Staking,38440001
Girnaar Nodes,36543543
Infosys,20911066
Anonymous 92,20130172
bountyblok 0% fee,19788723
Supermoon,18791880
Witval,18372189
Smart Stake,17341502
Prometheus Pool,16301710
StakePool,15865215
The Abyss (0% commission),15738385
Worldpay from FIS,14821593
InfStones,14810091
HashQuark,14273750
Bware Labs,13574104
Abyss Finance 🔥 0% fee,13271275
Matrix Stake,13143557
kytzu,12447894
Shard Labs,12172915
DSRV,11654377
Newroad Network,11118124
🐠 stake.fish,10365568
Stake Capital,10000112
Blue Ocean,9208012
Meria,8671151
Vader73 - 0% commission for life,6804508
Fahrenheit ❄️ 0%,6775765
Sakura Foundation,6749914
Making.cash | Long term fee 0%,5629110
Chorus One,5355593
PolygonGo,5349139
SolidStake,5145973
Perfect Stake 🥩,4979547
Valis Labs,4966825
Deutsche Telekom,4901898
algo | stake,4263092
WolfEdge Capital,4089056
Nobi,4070596
EMC2 Node,3780499
A41,3416506
Chainflow,3288178
ANON LowFee,3183228
VC Capital,2422378
Stake.Works,2409332
Rasputin,2388110
FreshSTAKING,2367498
Proton Gaming,2293519
Data Nexus,2082562
CheckBit,1777599
Streamr,1714868
Deepheat,1662482
Azuki Validator,1626461
StakeBaby,1587630
MCLB & fBOMB,1540471
Coinstash,1454641
Tavis Digital,1446992
AnkrValidator,1298159
DeFiMatic,1279036
PathrockNetwork,1223720
BCW Technologies,1149137
Tessellated,1103501
Atlas Staking,1063719
StakeCraft,1031028
BLRD,1026046
Blocks United,948841
Blockchain Superheroes,896444
Wetez,896053
MyCointainer.com,618132
Cryptonomicon,610170
P2P.org,603898
Mind Heart Soul,459399
Masternode24.de,418958
Northstake,378532
Torus Validator,373251
Galacticans,239809
stake.new,232388
Anonymous 112,134756
Blockops,79002
NEOPIN,30002
Validatrium,20822
Google Cloud,11868
Finoa Consensus Services,10005
Mantra DAO,1
Anonymous 165,1
