address,tokens,ip_address
Figment,299387500273194072,51.222.248.87
Blockdaemon,257728181887301921,208.91.107.169
Mysten-2,253787906892648477,136.244.64.220
Mysten-1,251796087417645034,45.63.91.154
P2P.ORG,203221914273574156,212.117.185.244
Triton One,202857391406703489,202.8.8.8
Luganodes,192632223178453748,93.115.25.174
Anchorage Digital-2,188490806461704836,136.243.55.238
Chorus One,183689213128361428,46.165.244.19
TrustedPoint,180722549103227616,45.250.253.74
ContributionDAO,157813298019548438,141.95.99.142
Blockscope.net,156086097846515752,15.235.82.231
StakingCabin,152121334145133614,54.64.235.237
Kiln,147864591801071993,57.128.73.31
Bware Labs,147710461215061528,141.95.34.55
mrgn,146225490822350270,141.98.216.164
Overclock,142657585223657911,84.17.53.103
Everstake,142555635206830112,45.250.254.103
Artifact,139845342996804258,206.125.33.6
Dankuzone_w_DAIC,138989727198211358,37.252.184.226
Galaxy Digital,138908974084085571,52.215.11.218
Nelrann,138667746428240591,185.209.178.171
Ahoy Validator,138205518602023990,103.50.32.109
DSRV,136354863460481562,141.95.171.152
HashedPotatoes,134276206438337429,69.67.149.35
Chainode Tech,122376795169443601,103.50.32.114
Aftermath,119044332243616169,57.128.47.71
BartestneT,118689278186932474,45.250.253.76
P-OPS Team,118686138552515781,185.8.104.19
TPT,118513748930131354,161.97.131.71
Durian,114138980412012001,13.229.58.139
Persimmon,114127112357493251,35.74.25.246
Citadel.one,108868767011301232,141.94.137.186
Nodes.Guru,108573577273272434,141.95.99.90
Scale3Labs,108293022573863764,45.250.254.151
Cogent Crypto,95085988608014634,45.250.254.99
Chainbase,93341247052096261,43.154.164.179
Coinbase Cloud,92229871572648160,3.249.94.146
BlockVision,65570211897099308,34.87.103.163
Staking Facilities,65273281216653655,5.199.170.77
Chainflow,64362684458872593,185.8.104.18
OKXEarn,61164620789593783,43.207.255.138
01node,56165113459819885,195.14.6.175
ORBR,55053791950694430,78.141.245.48
stakefish,53875856151617050,147.75.199.7
Juicy Stake,48242688765643077,69.2.39.167
proofgroup,47035469259821800,207.53.234.207
KiligLab,46136350126889037,8.213.144.236
Ankr,45316844495175039,107.6.94.244
Allnodes,44904671311868977,169.155.45.15
Cypher Capital,44406732540225474,69.2.39.165
Shinlabs,43365213798986499,43.130.123.214
Restake,43050812329506763,103.219.171.17
BiXinKelePool,42595809968491844,47.89.250.58
Staking Defense League,41998854598329295,188.214.129.144
n1stake,40054884528177515,173.231.17.194
Cosmostation,39482847409133804,172.255.251.44
StakeWithUs,38681576027083424,178.18.252.36
Staketab,37647927077132276,103.50.32.107
Nodeinfra,37563510424065926,34.80.99.216
Brightlystake,37379230036721517,139.84.155.177
BlockEden.xyz,37314187784008187,34.143.153.196
Staked,37306103017595821,54.195.211.175
Peeranha,36373517193550100,45.250.253.92
SyncNode,36307492295541808,103.50.32.122
Swiss Staking,36136730372820464,82.220.39.51
Stardust Staking,36129043817450259,93.115.25.67
KingSuper,36109151705699785,139.84.139.8
Imperator.co,36099810514610112,57.128.97.53
Neuler,36037886486920538,103.219.171.15
SynergyNodes,36030887046039079,194.48.168.246
B-Harvest,36030462943281144,198.13.34.226
Astro-Stakers,36026832503097555,195.189.96.115
ANodes,36026510364330857,8.217.239.246
[NODERS]TEAM x Criterion VC,35999953840804290,149.28.137.164
ONBUFF,35970612649606258,52.231.106.71
Omnistake,32980413049655082,44.230.61.141
Anchorage Digital-1,31050652126871813,198.244.253.76
ZKValidator,30471413452700321,65.21.128.113
Stakely,29636840666834082,15.235.53.140
InfStones,28831236410408018,150.136.151.212
XPRV,28740397931796117,54.38.136.66
gumi,28345359903381317,13.230.215.202
Parasol,28342028717200500,43.130.125.249
Laine,28142547834012921,103.50.32.184
QuantNode,27915004484623324,103.50.32.129
HashKey Cloud,27914435602409653,52.77.43.187
Moonlet,27914203802088849,103.219.171.14
Node Guardians,27898167262426737,51.222.152.21
Stakin,27894320468862429,93.115.25.75
NodeReal,27889403013011325,3.223.7.119
BLRD,27883077103692214,35.77.209.41
SpartanLabs,27847260712322699,5.199.170.96
TDMTech,27845445697990092,109.123.108.59
Forbole,27842388414602889,5.10.24.66
ComingChat,27835515792830730,45.32.11.180
Qredo,27802403109696867,65.108.111.57
MoveFuns DAO,27797951422661053,135.181.228.230
H2O Nodes,27793884571047818,185.125.95.23
RepublicCrypto,27793744443111840,91.210.226.206
Gaucho,27790287685113406,45.250.253.97
A41,27789206128811080,195.201.186.66
SenseiNode,27613888799225402,69.67.148.48
MIDL.dev,26984105858755579,62.210.140.115
Latitude.sh,26753094423189009,103.219.168.185
flipside,20803278351396697,198.178.224.97
