address,tokens,ip_address
Figment,284424155258768138,51.222.248.87
Blockdaemon,254763099692109398,208.91.107.169
Mysten-2,249379303787957874,136.244.64.220
P2P.ORG,222320773243306346,212.117.185.244
Luganodes,206731230756282048,93.115.25.174
Triton One,201332197969931972,202.8.8.8
Anchorage Digital-2,187993985663995746,136.243.55.238
Chorus One,181973271884009320,46.165.244.19
TrustedPoint,179700841100716056,45.250.253.74
Mysten-1,166378804070290839,45.63.91.154
ContributionDAO,157399057440298168,141.95.99.142
Blockscope.net,155668782788776099,15.235.82.231
StakingCabin,155378824549720859,54.64.235.237
Kiln,148896983506859565,57.128.73.31
Bware Labs,147339956464631690,141.95.34.55
mrgn,144802757673357109,141.98.216.164
Chainode Tech,142407846917823873,103.50.32.114
Everstake,142355922974501512,45.250.254.103
Overclock,142278898166917538,45.250.253.99
Shinlabs,141698560314170042,43.130.123.214
Artifact,138674962620338567,206.125.33.6
Dankuzone_w_DAIC,138612943521302980,37.252.184.226
Galaxy Digital,138596197113791758,52.215.11.218
Nelrann,138298355074622866,185.209.178.171
Ahoy Validator,137857068295162283,103.50.32.109
DSRV,136006605005987534,141.95.171.152
HashedPotatoes,127091453922357426,69.67.149.35
Chainbase,118444328344554842,43.154.164.179
Nodes.Guru,118412433492456044,141.95.99.90
BartestneT,118381454467383369,45.250.253.76
P-OPS Team,118376731941127848,185.8.104.19
TPT,118216042246585465,18.246.8.19
Aftermath,115620921564615361,57.128.47.71
Persimmon,114066770195655688,35.74.25.246
Durian,113839909712268671,13.229.58.139
Citadel.one,108298709828000315,141.94.137.186
Scale3Labs,107996525773171633,45.250.254.151
Cogent Crypto,94854119013461167,45.250.254.99
Coinbase Cloud,91811565449853228,3.249.94.146
BlockVision,65615926895653512,34.87.103.163
Staking Facilities,65234654948036472,5.199.170.77
OKXEarn,56949534501643685,43.207.255.138
ORBR,53564621590486079,78.141.245.48
stakefish,50215991762176922,147.75.199.7
Juicy Stake,48103094359069000,45.250.253.84
Ankr,46921455880942868,107.6.94.244
proofgroup,46910757356651834,207.53.234.207
KiligLab,46027331114357890,8.213.144.236
Allnodes,44677504319336035,169.155.45.15
Cypher Capital,44297069795287444,45.250.253.95
BiXinKelePool,42493804608401707,47.89.250.58
Staking Defense League,41900230288154074,188.214.129.144
n1stake,39961749637420804,173.231.17.194
StakeWithUs,38564863219108475,178.18.252.36
Staked,37300234127686748,54.195.211.175
Brightlystake,37289577390941605,139.84.155.177
BlockEden.xyz,37213792315921610,34.143.153.196
Cosmostation,36862653050896596,172.255.251.44
Peeranha,36276364411119638,45.250.253.92
SyncNode,36192475126617378,103.50.32.122
01node,36118161556969028,195.14.6.175
Stardust Staking,36046866048552556,93.115.25.67
Swiss Staking,36021639146714329,82.220.39.51
Imperator.co,36006937393772532,57.128.97.53
ONBUFF,36006686804049451,52.231.106.71
B-Harvest,36002105908293028,198.13.34.226
KingSuper,35993684723898207,139.84.139.8
Restake,35953683817946901,103.219.171.17
SynergyNodes,35944101848493827,194.48.168.246
Neuler,35940682027052757,103.219.171.15
Astro-Stakers,35938694460032547,195.189.96.115
ANodes,35926801765631522,8.218.16.91
[NODERS]TEAM x Criterion VC,35917345137452830,149.28.137.164
Chainflow,32941023537672242,185.8.104.18
Omnistake,32892246583533517,52.37.215.5
Anchorage Digital-1,30967469733234078,198.244.253.76
ZKValidator,30385589443709789,37.27.62.100
Stakely,29463892286483561,15.235.53.140
XPRV,28666352033019486,54.38.136.66
InfStones,28399442434538589,150.136.151.212
Parasol,28273920651591566,43.130.125.249
gumi,28268978053545982,13.230.215.202
Laine,28064680660906174,103.50.32.184
HashKey Cloud,27840657208926327,52.77.43.187
QuantNode,27837769153675742,103.50.32.129
Moonlet,27836870793339512,103.219.171.14
SpartanLabs,27833594046368330,5.199.170.96
Stakin,27819139214107892,93.115.25.75
NodeReal,27818676260801567,3.230.184.15
Node Guardians,27816312645135576,51.222.152.21
flipside,27815456259386125,198.178.224.97
BLRD,27809925676061961,35.77.209.41
Staketab,27798299202945627,103.50.32.107
TDMTech,27794671198050966,109.123.108.59
ComingChat,27762144171738144,45.32.11.180
Forbole,27760560016570934,5.10.24.66
Nodeinfra,27735137540150356,34.80.99.216
MoveFuns DAO,27733547531159976,135.181.228.230
Gaucho,27730860331636455,45.250.253.97
A41,27730307463378505,195.201.186.66
H2O Nodes,27724440965627388,185.125.95.23
Qredo,27723230742074902,65.108.111.57
RepublicCrypto,27585925907295857,91.210.226.206
SenseiNode,27535462498500922,69.67.148.48
MIDL.dev,26845188972611834,62.210.140.115
Latitude.sh,26688434615486420,103.219.168.185
