address,tokens
Luganodes,365351940
Binance Node,359760629
Web3Nodes Validator 🌎 0% fee,298834004
Allnodes ⚡️ 0% fee,222465693
Coinbase Cloud,201677566
Synclub,196560550
Vault Staking,164452250
Twinstake,150678318
Anonymous 94,126370142
Anonymous 93,122680282
Figment,120096098
Stakin,101265863
Republic Crypto / Source,80466621
Anonymous 91,78780629
Anonymous 92,72962423
SelfLiquidity,62970314
Kiln x Ownest 🔸 Pro Staking 🔸,57896333
Blockdaemon,55796966
Staked,52147632
Matic Fans,50633694
Staking4all - 0% fee,41633214
Everstake 0% fee,37278156
Girnaar Nodes,32165061
Upbit Staking,22520001
bountyblok 0% fee,21397569
Infosys,20959763
Supermoon,18384177
Witval,18371591
Prometheus Pool,18172290
Smart Stake,17488407
StakePool,16137424
HashQuark,14951568
Worldpay from FIS,14526889
InfStones,14173234
Matrix Stake,13636848
Bware Labs,13573238
kytzu,13510222
Shard Labs,13329392
Abyss Finance 🔥 0% fee,13197208
DSRV,12799343
Newroad Network,11179573
🐠 stake.fish,10069884
Stake Capital,10000691
Blue Ocean,9471775
Meria,8712033
Vader73 - 0% commission for life,7076042
The Abyss (0% commission),6983508
Fahrenheit ❄️ 0%,6732154
Sakura Foundation,6705791
Deutsche Telekom,5348097
PolygonGo,5333089
SolidStake,5145973
Valis Labs,4965348
Chorus One,4789539
Making.cash | Long term fee 0%,4197409
Perfect Stake 🥩,4110031
WolfEdge Capital,4098981
Nobi,4063757
EMC2 Node,3810608
A41,3401086
Chainflow,3324423
algo | stake,3296216
ANON LowFee,3132695
Stake.Works,2692028
CheckBit,2632356
Rasputin,2605363
FreshSTAKING,2367473
Proton Gaming,2348168
VC Capital,2291230
Data Nexus,2079446
Wetez,2032741
Tavis Digital,1859484
Streamr,1718731
Deepheat,1674518
Azuki Validator,1623882
MCLB & fBOMB,1578454
StakeBaby,1568015
Coinstash,1473824
AnkrValidator,1326690
DeFiMatic,1286661
BCW Technologies,1139247
Atlas Staking,1116419
PathrockNetwork,1100970
Tessellated,1039714
Zee Prime Labs,1037006
BLRD,1024902
Blocks United,1023301
Blockchain Superheroes,907901
MyCointainer.com,684843
Cryptonomicon,636285
Mind Heart Soul,489762
Masternode24.de,424222
Torus Validator,373251
Galacticans,241887
stake.new,228958
Anonymous 112,143657
Blockops,75211
P2P.org,61215
StakeCraft,31028
NEOPIN,30002
NEXON BLOCK,16719
Northstake,14833
Google Cloud,11868
Validatrium,6211
Mantra DAO,1
