address,tokens
Luganodes,382931988
Binance Node,360441371
Twinstake,340603847
Coinbase Cloud,224502112
Web3Nodes Validator 🌎 0% fee,205171774
Synclub,196602393
Anonymous 93,182654369
Allnodes ⚡️ 0% fee,176851096
Vault Staking,130807595
Anonymous 94,127242079
Figment,101339685
Stakin,98844503
Kiln x Ownest 🔸 Pro Staking 🔸,78138498
Republic Crypto / Source,66509037
Everstake 0% fee,61523025
Blockdaemon,61491897
Upbit Staking,61240007
Anonymous 91,58856558
Staked,54871328
SelfLiquidity,51322723
Matic Fans,50693841
Staking4all - 0% fee,41821851
Girnaar Nodes,38118281
StakePool,27117857
The Abyss (0% commission),21373086
Infosys,20472430
Anonymous 92,20143258
bountyblok 0% fee,19177830
Supermoon,19158499
Witval,18382471
Smart Stake,17326047
algo | stake,16756788
HashKey Cloud,15709395
Prometheus Pool,15460411
Worldpay from FIS,14819602
Bware Labs,13112253
Shard Labs,12867575
kytzu,12828886
Matrix Stake,12773271
Abyss Finance 🔥 0% fee,12575854
DSRV,12397412
InfStones,12326543
Newroad Network,11098869
Stake Capital,10010130
🐠 stake.fish,9959225
Blue Ocean,9332308
Meria,8970637
Chorus One,7745825
Vader73 - 0% commission for life,6698967
Fahrenheit ❄️ 0%,6573268
PolygonGo,6016040
Sakura Foundation,5699988
Making.cash | Long term fee 0%,5529931
SolidStake,5188917
Perfect Stake 🥩,4892632
Deutsche Telekom,4848974
Valis Labs,4778730
ANON LowFee,4621422
P2P.org,4330134
Nobi,4057776
CheckBit 0% fee,3584098
Chainflow,3316679
EMC2 Node,2933974
Stake.Works,2742875
WolfEdge Capital,2682437
Rasputin,2534455
FreshSTAKING,2367488
Proton Gaming,2284558
Data Nexus,2209991
VC Capital,2013417
Deepheat,1646193
Streamr,1583364
StakeBaby,1556975
Coinstash,1433281
MCLB & fBOMB,1396587
AnkrValidator,1334267
DeFiMatic,1250825
Tessellated,1220488
BCW Technologies,1108965
StakeCraft,1092805
Atlas Staking,1066021
PathrockNetwork,999120
BLRD,980911
Wetez,931107
Blocks United,917358
Re-Initializing,821127
Azuki Validator,789392
Cryptonomicon,564134
MyCointainer.com,522982
Mind Heart Soul,445878
Torus Validator,413139
Northstake,409168
Masternode24.de,373221
A41,269080
stake.new,205908
Anonymous 112,136584
Blockops,75428
Finoa Consensus Services,61220
Validatrium,33137
🍒 RYABINA 🍒,32974
NEOPIN,30001
Simply Staking,12532
Google Cloud,10155
SenseiNode,30
Mantra DAO,1
