tokens,address
22092245727473,Cosmostation
21295756608277,reynisfjara
15479785440598,Chorus One
14162631536293,Figment
13709214792767,Electric
6965923247210,Inotel
5079063195638,🐠stake.fish
5047404368233,Stakecito
4835539820265,PRYZM | Stake & Earn
4773660512774,Frog OSMO
4702010782411,Imperator.co
4688908590394,Informal Systems
4568611172764,"Frens (🤝,🤝)"
4414607546664,Sentinel dVPN
4373061472392,CryptoCrew Validators ✅
4344858912175,Multiplex
4299856115065,SG-1
4058598651542,Citadel.one
3906279471048,01node
3856853158785,Allnodes
3787078436727,binary_holdings
3622533719941,Larry Engineer
3584445472298,BouBouNode
3548670678181,Zero Knowledge Validator (ZKV)
3516286630543,wosmongton
3312483634526,POSTHUMAN∞DVS
3291498566243,polkachu.com
3227071725923, Lavender.Five Nodes 🐝
3200618187914,DSRV
3194738491421,ShapeShift DAO
3035633195671,Peregrine
3001876913657,tree-frog
2986128425920,Node Guardians
2884454967186,OmniFlix Network
2857550923372,Chandra Station 
2824433027663,Parakeet
2801893803434,S16 Research Ventures
2724287683697,StakeLab
2685547525546,White Marlin Staking
2632354416441,interchain.FM🥩
2489574867565,B-Harvest
2484186934728,Coinbase Cloud
2456386916991,Ledger by Figment
2443854846613,Cosmos Spaces ☮️💜⚛️
2385488359740,0base.vc
2384401791483,Swiss Staking
2330770284442,Provalidator
2282638737989,Bro_n_Bro
2265914980368,Crypto Assassin
2228844623465,ECO Stake 🌱
2224384564411,Crosnest
2217280619171,Forbole
2132550860650,Nocturnal Labs
2125234355573,Smart Stake 📈📊
1995713565504,iqlusion
1980116680108,Interstellar Lounge 🍸
1974962204834,nonce community
1943319589876,jabbey
1865830739753,Stakewolle.com |100% Insurance
1859220553762,#decentralizehk - DHK dao
1850969740380,Cosmology
1743761150662,Stakely.io
1740516068420,Hathor Node
1740061899173,Ping
1726928518575,Manythings
1722236992563,Golden Ratio Staking
1700753555447,WhisperNode 🤐
1624263390793,strangelove-ventures
1603474951028,Leonoor's Cryptoman
1567175235797,Klub Staking
1517391564356,ChainLayer
1507686874031,KDF
1505280365797,binance staking
1505210060857,Interbloc
1488791172700,StakeWithUs
1480824911985, AutoStake 🛡️ Slash Protected
1453577552113,Silk Nodes
1434218577596,Chihuahua
1379358274957,[ block pane ]
1376914355323,Atomic Nodes
1365834764034,Ethereal Ventures
1337443054913,Interop
1269852236228,a41
1165975403870,The_Cybernetics
1123376381504,nonce classic
1073932947527,PRO Delegators
1010753767949,Meria
986048414153,Witval
976410799549,blockscape
920353337865,Simply Staking
918615999073,Chainflow
899782937228,Chill Validation
888124237084,commercio.network
877228226808,Blockdaemon
863293260108,danku_zone w/ DAIC
819055813270,"Stargaze.zone (✨,🔭)"
762615878237,SmartNodes
758888085514,🇨🇭 Vortex.live 🟢
735654078702,in3s.com
734881357598,DAO DAO
734237144729,KalpaTech
727447050841,Tessellated
714969831846,Levana 🐉 Powered by Cros Nest
698859987836,Tedcrypto.io 🧸 | TedLotto
696145368529,Oni ⛩️
683461710943,NosNode🔮
672847261014,[Beehive]🇰🇷
657366185313,validator.network
630255884352,SpectrumX
629178284541,FreshSTAKING
626208823815,Cypher Core
594123995359,Uncle Ed
555525559841,stake.systems | autocompound
552631304063,AUDIT.one
517957792796,Gelotto 🛡 Slash Protected
517623614147,syncnode
508160479730,Bored Ape Server
486128858387,Everstake
456939436364,Merkan
453358601728,Zenscape
451453357307,Astroquirks | Profit Sharing 🤑 💰
449164417402,CrowdControl
400142433245,ushakov
373609249532,kooltek68
371207757391,GATA DAO
370748613256,Active Nodes
356657778046,Kintsugi Nodes
341983871459,Trust Nodes
321920533119,defiantlabs
316530883653,ztake.org
288273826899,Quebec
279980758113,Obi
274215672921,Dora Factory
265415171490,Komikuri
263996853881,DACM
263768997054,dimi 🦙
259032507130,coinhall.org
258361353211,TaxiStake
237402451541,Bi23 Labs
234981005524,artifact
232163376404,Oldcat
230067461163,Validatus
226785307079,Coverlet
221646057810,Coinpayu
219620618567,AlphaNodes🛸
215657993071,DELIGHT
213202471224,StakeThat - autorestake
209102959684,Secure Secrets
203474428685,Mendel
175506485667,Staking Fund
