tokens,address
22564000421078,reynisfjara
21011438521458,Cosmostation
13548571327686,Electric
12664632621441,Chorus One
11716471412556,Figment
6194492772115,Inotel
5105894742658,SG-1
4802597414835,Notional
4708800599534,Frog OSMO
4377111064683,"Frens (🤝,🤝)"
4340722514323,Imperator.co
4290224891499,polkachu.com
4229403384580,🐠stake.fish
4113956947355,Sentinel dVPN
3896444347886,Citadel.one
3883211945156,BouBouNode
3834441714116,CryptoCrew Validators ✅
3816561968591,binary_holdings
3811226281491,Zero Knowledge Validator (ZKV)
3807289777963,01node
3639087520481,Stakecito
3544140290945,Larry Engineer
3537343568658,Allnodes
3489954200193,wosmongton
3429064860836,PRYZM | Stake & Earn
3392923518344,Informal Systems
3327018870266,Chandra Station 
3278880294724,POSTHUMAN∞DVS
3136650741338,DSRV
3062730391800,ShapeShift DAO
3038709251740,Peregrine
3002185754478,tree-frog
2961374886229,OmniFlix Network
2924648483573, Lavender.Five Nodes 🐝
2882448735801,Node Guardians
2824797117497,Parakeet
2681244094798,White Marlin Staking
2675755607000,0base.vc
2668131919173,S16 Research Ventures
2560792865091,Bro_n_Bro
2459574545489,Ledger by Figment
2420042345146,iqlusion
2380853920777,Forbole
2365157727486,B-Harvest
2330334952026,Provalidator
2299436321653,interchain.FM🥩
2248220693497,StakeLab
2238302634393,#decentralizehk - DHK dao
2226135750487,Cosmos Spaces ☮️💜⚛️
2209100494258,Stakewolle.com |100% Insurance
2125166680428,Nocturnal Labs
2120273756111,Crypto Assassin
2113627241448,ECO Stake 🌱
2026229809941,Crosnest
2022821343210,Smart Stake 📈📊
1975528989657,nonce community
1923718990050,jabbey
1796646281245,Golden Ratio Staking
1796429166387,Cosmology
1786568795056,Hathor Node
1770469784543,Swiss Staking
1747835133353,strangelove-ventures
1722509043246,Blockdaemon
1717981778733,Klub Staking
1716935470297,   WhisperNode🤐
1712991371980,Manythings
1646252468761,Stakely.io
1619659599596,Coinbase Cloud
1567850201430,Leonoor's Cryptoman
1550938418060,ChainLayer
1544625756640,Ping
1511267723227,KDF
1503954632996,binance staking
1403451993350,Silk Nodes
1398472697718,Atomic Nodes
1385699258621,[ block pane ]
1366246429280, AutoStake 🛡️ Slash Protected
1365952756349,Ethereal Ventures
1358260047370,Interbloc
1356518831497,StakeWithUs
1253563406139,danku_zone w/ DAIC
1193731659309,Interop
1166090779777,commercio.network
1123461605958,nonce classic
1108642844640,Chihuahua
1075261635528,The_Cybernetics
998099161279,Meria
965066445220,Multiplex
950367147411,blockscape
898946883189,Chill Validation
885397378866,Chainflow
873968613822,[Beehive]🇰🇷
861887656010,PRO Delegators
851119585129,Witval
849624188056,DAO DAO
838570713785,Simply Staking
834391545924,🇨🇭 Vortex.live 🟢
833675932110,Interstellar 🍸
823197461383,SmartNodes
813069722770,"Stargaze.zone (✨,🔭)"
782151967462,Oni ⛩️
767300878648,KalpaTech
762432860243,in3s.com
737801841803,Tessellated
679020453523,NosNode🔮
665311094905,AUDIT.one
629432265634,SpectrumX
620265602187,Cypher Core
612642665324,Uncle Ed
597641552938,stake.systems | autocompound
596410250071,FreshSTAKING
591700957366,Tedcrypto.io 🧸 | TedLotto
586994377954,Gelotto 🛡 Slash Protected
558928986927,Zenscape
549377343740,validator.network
542385527887,syncnode
498864358514,Bored Ape Server
480216371654,Astroquirks | Profit Sharing 🤑 💰
465336661010,CrowdControl
444868395290,Merkan
432946023032,ushakov
411241689226,Active Nodes
408781281386,GATA DAO
384586249115,Kintsugi Nodes
380533614731,Levana 🐉 Powered by Cros Nest
376129751320,kooltek68
319243437200,defiantlabs
317419768391,ztake.org
288285282270,Obi
285747919047,Quebec
283336634642,dimi 🦙
273313292541,Dora Factory
265843351173,Komikuri
258528534928,Everstake
257771637794,DACM
256733071837,TaxiStake
254368960095,16psyche
238935111663,coinhall.org
238495904193,Bi23 Labs
236381399652,StakeThat - autorestake
236092801487,Coverlet
235912160601,Oldcat
234749945870,artifact
233920165957,Validatus
229792545035,AlphaNodes.OSMO
225876678772,Secure Secrets
216346273532,DELIGHT
216223927307,Coinpayu
205078364660,Staking Fund
192753062011,a41
