tokens,address
22510172820104,Cosmostation
21295770180699,reynisfjara
15308943305091,Chorus One
14301606584249,Figment
13705991066011,Electric
6954920748321,Inotel
5110569184695,🐠stake.fish
4862954000875,Multiplex
4798407242010,Imperator.co
4759797687077,Frog OSMO
4690269447736,Informal Systems
4551987906526,"Frens (🤝,🤝)"
4492631855420,SG-1
4378201045982,CryptoCrew Validators ✅
4364226582746,Stakecito
4247969947480,PRYZM | Stake & Earn
4160751792595,Sentinel dVPN
3916180085239,01node
3885734473644,Citadel.one
3786646532075,binary_holdings
3754068643629,BouBouNode
3741521067754,Allnodes
3621552396874,Larry Engineer
3541824978709,Zero Knowledge Validator (ZKV)
3523878798146,wosmongton
3409103197752,POSTHUMAN∞DVS
3284199010445,polkachu.com
3200744326529,DSRV
3167059297752, Lavender.Five Nodes 🐝
3139449339427,ShapeShift DAO
3112793350225,Chandra Station 
3035170534596,Peregrine
3001982579193,tree-frog
2976126790911,Node Guardians
2894244285563,OmniFlix Network
2824494844964,Parakeet
2756940754710,S16 Research Ventures
2688545542068,White Marlin Staking
2671120771857,StakeLab
2562353685263,interchain.FM🥩
2500855073762,Ledger by Figment
2499171162077,Coinbase Cloud
2480608895441,B-Harvest
2477047371401,0base.vc
2449320885679,Cosmos Spaces ☮️💜⚛️
2445154226414,Forbole
2399119796230,Swiss Staking
2357310765535,Provalidator
2274526690030,Bro_n_Bro
2268102203589,Crosnest
2261088456644,Crypto Assassin
2243499061135,ECO Stake 🌱
2130269808501,Nocturnal Labs
2089984170610,Smart Stake 📈📊
2022639897265,iqlusion
1977303622284,Interstellar Lounge 🍸
1971371402016,nonce community
1956455356359,#decentralizehk - DHK dao
1946745044313,jabbey
1883187481939,Stakewolle.com |100% Insurance
1849307885307,Cosmology
1737429803180,Ping
1737265368775,Hathor Node
1729060569808,Manythings
1712569840923,Stakely.io
1708636708636,Golden Ratio Staking
1707696665474,WhisperNode 🤐
1612076979073,strangelove-ventures
1608192598027,Leonoor's Cryptoman
1570878107605,Klub Staking
1525831403053,ChainLayer
1508604293281,Interbloc
1507956188490,KDF
1503608305808,binance staking
1493737766346, AutoStake 🛡️ Slash Protected
1450102782620,Silk Nodes
1447206127146,StakeWithUs
1443986756537,Chihuahua
1391405532852,Atomic Nodes
1381746587625,[ block pane ]
1371619872204,a41
1366207089610,Ethereal Ventures
1334272037736,Interop
1162380103096,The_Cybernetics
1123401470191,nonce classic
1086894177989,PRO Delegators
1010755619543,Meria
984723867658,Witval
973200340305,blockscape
956479657761,Blockdaemon
939923382512,commercio.network
921463866217,Simply Staking
921437403633,Chainflow
899602090465,Chill Validation
873684147233,danku_zone w/ DAIC
818934856031,"Stargaze.zone (✨,🔭)"
789017811528,SmartNodes
787402208575,🇨🇭 Vortex.live 🟢
763316269406,DAO DAO
746522113498,KalpaTech
733505707875,in3s.com
727854818394,Tessellated
710662334846,[Beehive]🇰🇷
700815673525,Oni ⛩️
699594717743,Tedcrypto.io 🧸 | TedLotto
686284644601,NosNode🔮
678038761393,Levana 🐉 Powered by Cros Nest
663353776782,validator.network
630262514430,SpectrumX
628389687301,Cypher Core
627903018734,FreshSTAKING
617804241154,Uncle Ed
563426858311,stake.systems | autocompound
556306194939,AUDIT.one
527195614111,Zenscape
519306136675,syncnode
517182889841,Gelotto 🛡 Slash Protected
502716317191,Bored Ape Server
455616101715,Merkan
454030727644,CrowdControl
451223608340,Astroquirks | Profit Sharing 🤑 💰
433130491946,Everstake
409334449799,ushakov
386052920584,Active Nodes
377709204894,Kintsugi Nodes
375100200858,kooltek68
374313716309,GATA DAO
328394207881,Trust Nodes
320380633795,defiantlabs
316835713742,ztake.org
297825853765,Quebec
284107146416,Obi
274340631162,Dora Factory
268383421682,dimi 🦙
266248916046,Komikuri
264652666981,DACM
257933198545,TaxiStake
248183671726,coinhall.org
247659313853,16psyche
237847787341,Bi23 Labs
235308752682,Oldcat
230774643781,Validatus
227121216449,Coverlet
225380027461,artifact
222263074721,AlphaNodes🛸
220507476467,Coinpayu
218068553086,StakeThat - autorestake
216940845478,DELIGHT
215323169072,Secure Secrets
206419391576,Mendel
