address,tokens,ip_address
Figment,282274984490465082,51.222.248.87
Blockdaemon,252934264592966473,208.91.107.169
Mysten-2,249488059628629521,136.244.64.220
P2P.ORG,222270656129305177,212.117.185.244
Luganodes,206334996681114636,93.115.25.174
Triton One,201057640730212124,202.8.8.8
Anchorage Digital-2,187848079193716590,136.243.55.238
Chorus One,181916757920532836,46.165.244.19
TrustedPoint,179563979840002516,45.250.253.74
Mysten-1,160975696429457687,45.63.91.154
ContributionDAO,157228196363732815,141.95.99.142
Blockscope.net,155547919769961302,15.235.82.231
StakingCabin,155260399560991041,54.64.235.237
Kiln,148899030957799817,57.128.73.31
Bware Labs,147215570614084329,141.95.34.55
mrgn,144625637336845385,141.98.216.164
Everstake,142346864076331901,45.250.254.103
Chainode Tech,142199792440868731,103.50.32.114
Overclock,142164578234580804,45.250.253.99
Shinlabs,141590358385685991,43.130.123.214
Artifact,138510911755335071,206.125.33.6
Dankuzone_w_DAIC,138500748787552877,37.252.184.226
Galaxy Digital,138465598317714442,52.215.11.218
Nelrann,138191904230913329,185.209.178.171
Ahoy Validator,137754223688462941,103.50.32.109
DSRV,135901342566771523,141.95.171.152
HashedPotatoes,126931502547473465,69.67.149.35
Chainbase,118353998256515715,43.154.164.179
Nodes.Guru,118311299912427171,141.95.99.90
BartestneT,118288487999243013,45.250.253.76
P-OPS Team,118287116318390843,185.8.104.19
TPT,118146846090212138,18.246.8.19
Aftermath,115161592513705249,57.128.47.71
Persimmon,113978622221125101,35.74.25.246
Durian,113751903464873297,13.229.58.139
Citadel.one,108221247749157369,141.94.137.186
Scale3Labs,107918056735346038,45.250.254.151
Cogent Crypto,94782943894479636,45.250.254.99
Coinbase Cloud,91796752434002342,3.249.94.146
BlockVision,65716374073604255,34.87.103.163
Staking Facilities,65257418629178193,5.199.170.77
OKXEarn,54883366086867981,43.207.255.138
ORBR,53471573528466336,78.141.245.48
stakefish,49337218688444301,147.75.199.7
Juicy Stake,48066226353902393,45.250.253.84
proofgroup,46875048792556797,207.53.234.207
KiligLab,45990637531998286,8.213.144.236
Allnodes,44581491935852423,169.155.45.15
Cypher Capital,44263882482883584,45.250.253.95
BiXinKelePool,42460630834201916,47.89.250.58
Staking Defense League,41866048817711699,188.214.129.144
n1stake,39930431694768678,173.231.17.194
Ankr,38730329548063287,107.6.94.244
StakeWithUs,38519468578762490,178.18.252.36
Staked,37275041240685569,54.195.211.175
Brightlystake,37258313437548423,139.84.155.177
BlockEden.xyz,37184180674603082,34.143.153.196
Cosmostation,36253720109506873,172.255.251.44
Peeranha,36246158576174820,45.250.253.92
SyncNode,36164887121648743,103.50.32.122
01node,36081992198852145,195.14.6.175
Stardust Staking,35996540457409381,93.115.25.67
Swiss Staking,35981977839720830,82.220.39.51
ONBUFF,35979607487955372,52.231.106.71
Imperator.co,35975444689363576,57.128.97.53
B-Harvest,35973291850025189,198.13.34.226
KingSuper,35957072578644829,139.84.139.8
Restake,35920028670948175,103.219.171.17
SynergyNodes,35917725664954613,194.48.168.246
Neuler,35912907571168369,103.219.171.15
Astro-Stakers,35908442239755848,141.95.99.201
ANodes,35899260965526243,8.218.16.91
[NODERS]TEAM x Criterion VC,35888312863043838,149.28.137.164
Chainflow,32910379457622197,185.8.104.18
Omnistake,32861291338891983,44.230.61.141
Anchorage Digital-1,30942232701716554,198.244.253.76
ZKValidator,30360403876885488,37.27.62.100
Stakely,29432190217961583,15.235.53.140
XPRV,28642177699967312,54.38.136.66
InfStones,28366504892303186,150.136.151.212
Parasol,28253365932225010,43.130.125.249
gumi,28245651856924351,13.230.215.202
Laine,28048947971043019,103.50.32.184
Moonlet,27837327543413556,103.219.171.14
HashKey Cloud,27818662283453941,52.77.43.187
QuantNode,27817388503257338,103.50.32.129
SpartanLabs,27808671583460348,5.199.170.96
flipside,27797729959992914,198.178.224.97
Stakin,27791134619961639,93.115.25.75
BLRD,27788044495427918,35.77.209.41
NodeReal,27785532229462818,3.223.7.119
Staketab,27773312548164017,103.50.32.107
TDMTech,27773268254383927,109.123.108.59
Node Guardians,27745904633516903,51.222.152.21
ComingChat,27738831954999526,45.32.11.180
Forbole,27734929835630098,5.10.24.66
Nodeinfra,27712880602021052,34.80.99.216
Gaucho,27708894826830248,45.250.253.97
A41,27708247334509829,195.201.186.66
MoveFuns DAO,27705452531672792,135.181.228.230
H2O Nodes,27701696619585358,185.125.95.23
Qredo,27697427490411248,65.108.111.57
RepublicCrypto,27571767936634098,91.210.226.206
SenseiNode,27512712756019131,69.67.148.48
MIDL.dev,26825949187946933,62.210.140.115
Latitude.sh,26671151628231957,103.219.168.185
