address,tokens,ip_address
Figment,285595702213954863,51.222.248.87
Mysten-1,260638122555494934,45.63.91.154
Blockdaemon,255129325284055165,208.91.107.169
Mysten-2,252625831167286053,136.244.64.220
P2P.ORG,218526577983379484,212.117.185.244
Triton One,201471346935597150,202.8.8.8
Luganodes,195343717371753103,93.115.25.174
Anchorage Digital-2,188112677194120988,136.243.55.238
Chorus One,182999755997647023,46.165.244.19
TrustedPoint,179821748539130996,45.250.253.74
ContributionDAO,157568830786999089,141.95.99.142
Blockscope.net,155778579160101672,15.235.82.231
StakingCabin,151828762805735921,54.64.235.237
Kiln,148839937576955920,57.128.73.31
Bware Labs,147436803315708528,141.95.34.55
mrgn,145016098413168518,141.98.216.164
Chainode Tech,142607780195867750,103.50.32.114
Everstake,142466624693252246,45.250.254.103
Overclock,142367424654233092,45.250.253.99
Artifact,138867174928908555,206.125.33.6
Dankuzone_w_DAIC,138710000428115783,37.252.184.226
Galaxy Digital,138670824761270603,52.215.11.218
Nelrann,138390889318277724,185.209.178.171
Ahoy Validator,137941049507748666,103.50.32.109
DSRV,136099941810476604,141.95.171.152
HashedPotatoes,133268566722962005,69.67.149.35
Chainbase,118515434698830980,43.154.164.179
Nodes.Guru,118494875030424061,141.95.99.90
BartestneT,118453504673649251,45.250.253.76
P-OPS Team,118450157165085261,185.8.104.19
TPT,118286670800711390,161.97.131.71
Aftermath,116566973862743673,57.128.47.71
Persimmon,114138520379679247,35.74.25.246
Durian,113911829255100556,13.229.58.139
Citadel.one,108402333660879659,141.94.137.186
Scale3Labs,108065157610003561,45.250.254.151
Cogent Crypto,94909786552292288,45.250.254.99
Coinbase Cloud,91867670343778540,3.249.94.146
BlockVision,65654167684954820,34.87.103.163
Staking Facilities,65283147718278873,5.199.170.77
OKXEarn,60540639397653931,43.207.255.138
ORBR,54153195152764360,78.141.245.48
Shinlabs,49931070440879662,43.130.123.214
stakefish,49287378701320786,147.75.199.7
Juicy Stake,48134172695306601,69.2.39.167
Ankr,47157895906685765,107.6.94.244
proofgroup,46947186641058402,207.53.234.207
KiligLab,46049207139481512,8.213.144.236
Allnodes,44769494975714552,169.155.45.15
Cypher Capital,44323396662448769,69.2.39.168
BiXinKelePool,42522122733103850,47.89.250.58
Staking Defense League,41924435615879956,188.214.129.144
Cosmostation,41331256101311583,172.255.251.44
n1stake,39986042376215955,173.231.17.194
StakeWithUs,38595155459457009,178.18.252.36
Staked,37324925640811481,54.195.211.175
Brightlystake,37315299845106391,139.84.155.177
BlockEden.xyz,37239360911281354,34.143.153.196
Peeranha,36300803705582760,45.250.253.92
SyncNode,36213256047179106,103.50.32.122
01node,36102624216757119,195.14.6.175
Stardust Staking,36069010308615502,93.115.25.67
Swiss Staking,36046609511356647,82.220.39.51
Imperator.co,36045152624659560,57.128.97.53
B-Harvest,36031075143266878,198.13.34.226
ONBUFF,36028263465573366,52.231.106.71
KingSuper,36017430041011346,139.84.139.8
Restake,35980270523031844,103.219.171.17
Neuler,35973404693076941,103.219.171.15
Astro-Stakers,35972855120316408,195.189.96.115
SynergyNodes,35965270562694847,194.48.168.246
ANodes,35950682310189777,8.218.16.91
[NODERS]TEAM x Criterion VC,35936498688998151,149.28.137.164
Chainflow,32965775709828951,185.8.104.18
Omnistake,32907934591323799,52.37.215.5
Anchorage Digital-1,30987049047535327,198.244.253.76
ZKValidator,30408382585894707,65.21.128.113
Stakely,29559118456209481,15.235.53.140
XPRV,28683246410016585,54.38.136.66
InfStones,28440210656740852,150.136.151.212
Parasol,28289725659896680,43.130.125.249
gumi,28288254255572458,13.230.215.202
Laine,28085443950583086,103.50.32.184
HashKey Cloud,27859630813238996,52.77.43.187
SpartanLabs,27855267381736628,5.199.170.96
QuantNode,27854853262397980,103.50.32.129
Moonlet,27854203219207758,103.219.171.14
Stakin,27837361322560599,93.115.25.75
flipside,27831164931476268,198.178.224.97
Node Guardians,27828226927267481,51.222.152.21
NodeReal,27827687762574684,3.230.184.15
BLRD,27827305599870969,35.77.209.41
TDMTech,27812205221386935,109.123.108.59
Staketab,27786235125251792,103.50.32.107
Forbole,27781844513623039,5.10.24.66
ComingChat,27781269700630061,45.32.11.180
Gaucho,27752411804117038,45.250.253.97
MoveFuns DAO,27749200110647251,135.181.228.230
Qredo,27743706933392365,65.108.111.57
H2O Nodes,27742249000486621,185.125.95.23
A41,27735324396507983,195.201.186.66
Nodeinfra,27714789044437116,34.80.99.216
RepublicCrypto,27604441288309624,91.210.226.206
SenseiNode,27553695324544932,69.67.148.48
MIDL.dev,26862078912324664,62.210.140.115
Latitude.sh,26705423445198886,103.219.168.185
