address,tokens
Figment,275255806349134258
Mysten-2,236914992850135707
Blockdaemon,234352633613356049
P2P.ORG,229034797925539223
Luganodes,214351060209108135
Triton One,199529150976708273
Chorus One,189674623198473844
Anchorage Digital-2,186262654381027414
TestnetPride,177930610820926882
Mysten-1,163994467708232560
ContributionDAO,161248279115122179
Kiln,155196544593420387
Blockscope.net,154156576817132847
StakingCabin,153954103486826974
Bware Labs,147375546189646674
mrgn,144389848595556451
Overclock,143648648258201265
Chainode Tech,143615044338278968
Everstake,142758586908812350
Shinlabs,140636871976065083
Dankuzone_w_DAIC,138644055968378730
DSRV,138575788926995157
Galaxy Digital,138548293284977150
Artifact,138428643167518597
Nelrann,138359115580123289
Ahoy Validator,138072635609077348
HashedPotatoes,131093435961297490
Nodes.Guru,118196543898808667
Chainbase,118104017929361060
BartestneT,118037065611630476
P-OPS Team,118003789632011060
TPT,117971956878744867
Durian,112740371982688860
Persimmon,112730684857496574
Aftermath,107848619372547621
Citadel.one,107827097485036260
Cogent Crypto,107671008306062104
Scale3Labs,107645243734610665
Coinbase Cloud,89461947118444087
BlockVision,68295867945655173
Staking Facilities,65511592144742896
Staked,58815670418152955
proofgroup,55985502774375581
StakeWithUs,55944722321521493
stakefish,53807266367779154
Ankr,52026726075605171
Cosmostation,49994052674522690
Juicy Stake,47821162266897598
KiligLab,46062934519663693
OKXEarn,44750898338514831
BiXinKelePool,42523153181933302
Allnodes,41984951193940035
Staking Defense League,41744284383072703
n1stake,39840340505541144
Brightlystake,36921783802620227
BlockEden.xyz,36850229929074301
01node,35991530110567646
SyncNode,35991091835567483
Stardust Staking,35968434616027079
Swiss Staking,35962931558573824
ANodes,35943711260156743
Peeranha,35922315411756661
ONBUFF,35908458726664625
B-Harvest,35879836164953999
Imperator.co,35870979805585826
KingSuper,35862448668907992
Restake,35850995275956061
Astro-Stakers,35845342288610304
SynergyNodes,35836984517253405
Neuler,35825087870502566
[NODERS]TEAM x Criterion VC,35820684229836028
ORBR,35578336688420435
Chainflow,34437221306738420
Omnistake,32730610117949909
Stakely,31206200475820869
Anchorage Digital-1,30734595568932085
ComingChat,28577930952266492
XPRV,28546965208501556
gumi,28213957036117887
Parasol,28190878373848405
Laine,27974442157300668
InfStones,27864331664308171
Forbole,27774985848542302
Moonlet,27743053231676147
Stakin,27709636541082364
QuantNode,27708708659595323
Qredo,27706355241137178
Staketab,27703381181017016
TDMTech,27698002255036950
HashQuark,27697965285899213
BLRD,27696220377762391
NodeReal,27695775240493556
flipside,27695109030456884
Node Guardians,27659186807299850
A41,27655640768417529
SpartanLabs,27652890799820048
RepublicCrypto,27643599664946928
Cypher Capital,27640317449213533
Nodeinfra,27639442208889525
H2O Nodes,27629138797827166
Gaucho,27628106458567578
MoveFuns DAO,27619064221593455
SenseiNode,27272543511452435
MIDL.dev,26618172464950274
Latitude.sh,26603423974880869
