address,tokens
Luganodes,365532139
Binance Node,359760629
Web3Nodes Validator 🌎 0% fee,298834004
Coinbase Cloud,240535107
Allnodes ⚡️ 0% fee,222344488
Synclub,196560550
Vault Staking,164452149
Twinstake,150677670
Anonymous 94,126370142
Anonymous 93,122680282
Figment,120087367
Stakin,101292559
Republic Crypto / Source,80466621
Anonymous 91,78780629
Anonymous 92,72962423
SelfLiquidity,63019445
Kiln x Ownest 🔸 Pro Staking 🔸,57661448
Blockdaemon,55785454
Staked,52041962
Matic Fans,50633694
Staking4all - 0% fee,41632214
Everstake 0% fee,37241587
Girnaar Nodes,32165061
Upbit Staking,22480001
bountyblok 0% fee,21396231
Infosys,20959763
Supermoon,18384882
Witval,18371591
Prometheus Pool,18114163
Smart Stake,17488371
StakePool,16137181
HashQuark,14965794
Worldpay from FIS,14526889
InfStones,13987861
Matrix Stake,13636848
Bware Labs,13573238
kytzu,13510222
Shard Labs,13329392
Abyss Finance 🔥 0% fee,13198588
DSRV,12799343
Newroad Network,11179573
🐠 stake.fish,10071159
Stake Capital,10000691
Blue Ocean,9470555
Meria,8702531
The Abyss (0% commission),8021475
Vader73 - 0% commission for life,7076042
Fahrenheit ❄️ 0%,6730746
Sakura Foundation,6705791
Deutsche Telekom,5348097
PolygonGo,5333089
SolidStake,5145973
Valis Labs,4965348
Chorus One,4798629
Making.cash | Long term fee 0%,4197409
Perfect Stake 🥩,4109364
WolfEdge Capital,4098533
Nobi,4065814
EMC2 Node,3800788
A41,3401086
Chainflow,3324423
algo | stake,3296216
ANON LowFee,3136995
Stake.Works,2692028
CheckBit,2632356
Rasputin,2605363
FreshSTAKING,2367473
Proton Gaming,2348168
VC Capital,2291230
Data Nexus,2079446
Wetez,2032528
Tavis Digital,1859484
Streamr,1718731
Deepheat,1674493
Azuki Validator,1623882
MCLB & fBOMB,1578454
StakeBaby,1566899
Coinstash,1473624
AnkrValidator,1326963
DeFiMatic,1286020
BCW Technologies,1139247
Atlas Staking,1116719
PathrockNetwork,1100970
Tessellated,1039714
Zee Prime Labs,1037006
BLRD,1024902
Blocks United,1023301
Blockchain Superheroes,912901
MyCointainer.com,684843
Cryptonomicon,636264
Mind Heart Soul,489762
Masternode24.de,424222
Torus Validator,373251
Galacticans,241887
stake.new,228958
Anonymous 112,143657
Blockops,75211
P2P.org,61215
StakeCraft,31028
NEOPIN,30002
NEXON BLOCK,16719
Northstake,14733
Google Cloud,11868
Validatrium,6211
Mantra DAO,1
