address,tokens
Figment Networks,1.2055667881175043e+25
Deutsche Telekom,1.0617703731136273e+25
a16z,1.0457151528051742e+25
Manta Labs,1.038088542924668e+25
Polychain,9.429271359184443e+24
Anchorage Digital,8.602430381303844e+24
Binance-Staking-Group,8.059476526332875e+24
,7.445005046404168e+24
Polychain,6.636736133611776e+24
impactMarket,6.405284328158622e+24
Bison Trails,6.249608686724892e+24
wotrust,4.996659867382407e+24
ChainLayer,4.95334281287698e+24
Blockdaemon,4.3184082598934937e+24
Ledger by Figment,4.1206836558938163e+24
DSRV,4.0825563144318263e+24
Chorus One,4.0613394162118805e+24
Validator.Capital,3.8763178141849573e+24
missionquorum-group,3.801042795214853e+24
ZanshinDojo.org,3.7637861637538295e+24
deDataLabs,3.721950896573531e+24
AG,3.5672371389269237e+24
Staking Fund,3.5439621747613184e+24
HappyCelo,3.5210844779098065e+24
Usopp | usopp.club,3.5134146696886886e+24
Stake DAO,3.4755316783726284e+24
cLabs,3.471305036532763e+24
Easy2Stake Group,3.36911876645534e+24
celvaly,3.3205286322951794e+24
chainvibes,3.3093599157233733e+24
Cypher Core,3.3030136180343016e+24
Perfect Stake,3.253396161319692e+24
TDlabs,3.2469181155355316e+24
SeedBed,3.238826333188371e+24
keyko.io,3.004585265617032e+24
StakeService.com,2.8032301772744473e+24
Tessellated Geometry Alliance,2.779335614846884e+24
moonli.me,2.7425500256969224e+24
Ryabina,2.664445778460959e+24
The Celo Group,2.6587521305065823e+24
Projecttent,2.651481927904739e+24
Stakecito,2.650038922059421e+24
Censusworks,2.6500302743527623e+24
Stakely.io,2.571154870020068e+24
ZKValidator,2.571080890972199e+24
VladiatorLabs.io,2.5565668279271603e+24
Simply Staking,2.5324819960833165e+24
PlusV,2.483038130757273e+24
Virtual Hive,2.475471506634484e+24
Making.cash,2.474758008832899e+24
gunray,2.444456614379164e+24
Kytzu Group,2.442765697430365e+24
AnyblockAnalyticsGroup,2.4399439212182523e+24
huglester,2.4327286648251117e+24
swiftstaking,2.4031021255797369e+24
🏢 Ministry Of Blocks 🏢,2.3971016573325288e+24
atweb3,2.3856846264426327e+24
nonce,2.3728744776166142e+24
Bi23 Labs,2.3354343885397446e+24
Goods & Services,2.3022919093845395e+24
TPT,2.2985814410849036e+24
syncnode_group,2.2668314619857037e+24
Masternode24.de,2.256830046137035e+24
HashKey Cloud,2.1719309443519208e+24
MoonletWallet,1.7464418126958856e+24
Google Cloud Web3 Group,1.647994655400853e+24
TeroLabs,1.640226935424079e+24
Bitcandy 🍬,1.3519574030176544e+24
AUDIT.one,1.313738454903739e+24
Eat Pray Validate 🍴🙏🖥,1.3130841323230915e+24
01node,1.125380590514699e+24
Nodito Labs,4.416694816063593e+23
Tango,3.894405529237348e+23
CoinList,1.090342603060099e+23
Celo.Works,5.989144313176105e+22
bitManna,4.04e+22
Chainflow,2.115765985767849e+22
GrassrootsEconomics,2.0009e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.0000007810583e+22
Telefonica,2.00000023565405e+22
stake.fish 🐠,1e+22
,3.675057721490572e+20
,7251834942689219.0
,1010374548676417.0
+ + =,0.0
dynamic,0.0
