address,tokens
Luganodes,362366451
Binance Node,359812995
Web3Nodes Validator 🌎 0% fee,298439385
Allnodes ⚡️ 0% fee,223124514
Synclub,196609152
Coinbase Cloud,194410027
Anonymous 93,182680282
Vault Staking,164223411
Twinstake,155669555
Anonymous 94,126370668
Figment,106261376
Stakin,100608059
Anonymous 91,78470920
Anonymous 92,72962423
Kiln x Ownest 🔸 Pro Staking 🔸,67332867
Republic Crypto / Source,66413421
Blockdaemon,54223668
Staked,52293605
SelfLiquidity,50795881
Matic Fans,50631780
Everstake 0% fee,43677214
Staking4all - 0% fee,41149426
Girnaar Nodes,37002385
Upbit Staking,33440001
Infosys,20884637
bountyblok 0% fee,19758961
Supermoon,18759311
Witval,18372189
Smart Stake,17394283
Prometheus Pool,16372035
StakePool,15819681
Worldpay from FIS,14821593
HashQuark,14727499
InfStones,14395112
Bware Labs,13574224
Matrix Stake,13527938
kytzu,13415696
Abyss Finance 🔥 0% fee,13177653
The Abyss (0% commission),13005989
algo | stake,11516941
Newroad Network,11170849
Shard Labs,10859747
🐠 stake.fish,10419414
DSRV,10341029
Stake Capital,10000692
Blue Ocean,9453999
Meria,8644552
Vader73 - 0% commission for life,6807265
Fahrenheit ❄️ 0%,6721969
Sakura Foundation,6717623
Making.cash | Long term fee 0%,5655593
Deutsche Telekom,5354539
PolygonGo,5331197
Chorus One,5291733
SolidStake,5145973
Valis Labs,4964348
Perfect Stake 🥩,4918593
WolfEdge Capital,4100433
Nobi,4063757
EMC2 Node,3727773
A41,3400286
Chainflow,3329544
ANON LowFee,3209943
CheckBit,2586334
Rasputin,2499163
Stake.Works,2397444
VC Capital,2392461
FreshSTAKING,2367498
Proton Gaming,2294164
Data Nexus,2074125
Streamr,1716119
Deepheat,1662482
Azuki Validator,1650536
StakeBaby,1588297
MCLB & fBOMB,1553517
Coinstash,1466005
Tavis Digital,1418326
AnkrValidator,1321000
DeFiMatic,1288271
BCW Technologies,1155837
PathrockNetwork,1099497
Atlas Staking,1083865
Zee Prime Labs,1047644
StakeCraft,1031028
Tessellated,1029535
BLRD,1023662
Blocks United,990989
Blockchain Superheroes,917901
Wetez,902346
Cryptonomicon,612170
MyCointainer.com,597683
Mind Heart Soul,481762
Masternode24.de,420275
Northstake,378084
Torus Validator,373251
Galacticans,239809
stake.new,231875
Anonymous 112,143081
P2P.org,108221
Blockops,79202
NEOPIN,30002
Validatrium,16842
NEXON BLOCK,16719
Google Cloud,11868
Mantra DAO,1
