address,tokens
Figment,279348664470424112
Blockdaemon,250056907146809698
Mysten-2,240671326704625420
P2P.ORG,225466101194213257
Luganodes,209771640918077577
Triton One,200897723120044746
Anchorage Digital-2,187619454753565918
Chorus One,181649546845579774
TrustedPoint,179351834183207261
Mysten-1,159657816743161548
ContributionDAO,156893020839974015
Blockscope.net,155354093711616208
StakingCabin,155123213226273025
Bware Labs,147027916465680242
mrgn,144396140072092976
Kiln,144258279234757130
Everstake,143440924100059969
Overclock,142000735843180359
Chainode Tech,141979952189456025
Shinlabs,141426384364985388
Artifact,138343858199288616
Dankuzone_w_DAIC,138331265092145809
Galaxy Digital,138295926988396835
Nelrann,138070672295673431
Ahoy Validator,137604453431754818
DSRV,135834761587013583
HashedPotatoes,126690636999746675
Chainbase,118205739240450502
BartestneT,118149061659264858
P-OPS Team,118141397453723006
Nodes.Guru,118130986978868857
TPT,118017661288948718
Aftermath,114721037669040720
Durian,113612682604323288
Persimmon,113599620876272787
Citadel.one,108078318467813349
Scale3Labs,107859250338122808
Cogent Crypto,94674426001030115
Coinbase Cloud,91715963184592902
BlockVision,65644389739967718
Staking Facilities,65270474006185202
ORBR,53144883120325084
OKXEarn,51070794727016480
stakefish,48306485910876960
Juicy Stake,48042911612712772
proofgroup,47030239417736536
KiligLab,45943550960519572
Cypher Capital,44218028872817046
Allnodes,43969754447919875
BiXinKelePool,42594949145895491
Staking Defense League,41824304691501476
n1stake,39882246218514044
StakeWithUs,38470280605970695
Ankr,37342472701944865
Staked,37238614845915397
Brightlystake,37213182395706950
BlockEden.xyz,37135302091816281
Cosmostation,36655846608142619
Peeranha,36216927577878589
SyncNode,36076101662510613
01node,36041005519641946
Stardust Staking,36000268837510474
ANodes,35963027637235584
Swiss Staking,35942132035047166
ONBUFF,35940997189076000
B-Harvest,35929487939298235
KingSuper,35914611821280727
Imperator.co,35908645818910697
Restake,35877570054576702
SynergyNodes,35877316665651339
Neuler,35871512324166105
Astro-Stakers,35868677294508616
[NODERS]TEAM x Criterion VC,35849262805106799
Chainflow,32851151987626852
Omnistake,32808063647823663
Anchorage Digital-1,30906420074094924
ZKValidator,30107656908955003
Stakely,29841550596433028
XPRV,28610840847950576
InfStones,28476189359178694
Parasol,28223135065240085
gumi,28213127940447787
Laine,28012302261960124
Moonlet,27803294930382391
QuantNode,27779153468175881
SpartanLabs,27773096904574777
HashKey Cloud,27771387367968027
flipside,27759712311612291
Stakin,27756870979422218
Qredo,27756384946934667
BLRD,27755028587398241
NodeReal,27750915493038366
Staketab,27744064067730464
TDMTech,27743177120430812
Forbole,27705644746243829
ComingChat,27703869142567291
Nodeinfra,27679232448589899
A41,27675416404730438
Gaucho,27674924627442500
H2O Nodes,27669772834892921
Node Guardians,27668923069183960
MoveFuns DAO,27664412523506204
RepublicCrypto,27543961488409779
SenseiNode,27478076588525091
MIDL.dev,26673002533461476
Latitude.sh,26638440525187646
