address,tokens,ip_address
Figment,302331231584509311,51.222.248.87
Blockdaemon,264602648051531822,208.91.107.169
Mysten-2,253670126115653312,136.244.64.220
Mysten-1,253109893857212746,45.63.91.154
P2P.ORG,214468559311514286,212.117.185.244
Triton One,202625079255779185,202.8.8.8
Luganodes,195481651682623709,93.115.25.174
Anchorage Digital-2,188374503409743314,136.243.55.238
Chorus One,183469066664367089,46.165.244.19
TrustedPoint,180619871139458467,45.250.253.74
ContributionDAO,157727784629608889,141.95.99.142
Blockscope.net,155990059529866176,15.235.82.231
StakingCabin,152027081793164489,54.64.235.237
Bware Labs,147624500787017082,141.95.34.55
mrgn,146066749672508957,141.98.216.164
Kiln,144664483460161859,57.128.73.31
Chainode Tech,142951334096192201,103.50.32.114
Overclock,142579538818743369,45.250.253.99
Everstake,142475616037900263,45.250.254.103
Artifact,139687969807526137,206.125.33.6
Dankuzone_w_DAIC,138905801260261089,37.252.184.226
Galaxy Digital,138811387085682334,52.215.11.218
Nelrann,138599602661158877,185.209.178.171
Ahoy Validator,138128627957331283,103.50.32.109
DSRV,136283597988862349,141.95.171.152
HashedPotatoes,134125021096646458,69.67.149.35
Aftermath,118826902634048630,57.128.47.71
Nodes.Guru,118631672941002054,135.181.18.112
BartestneT,118618475272422778,45.250.253.76
Chainbase,118618233126532381,43.154.164.179
P-OPS Team,118612731967020352,185.8.104.19
TPT,118448284456183925,161.97.131.71
Durian,114071282654460131,13.229.58.139
Persimmon,114059506677334802,35.74.25.246
Citadel.one,108700427322531801,141.94.137.186
Scale3Labs,108228450726686561,45.250.254.151
Cogent Crypto,95032894825905099,45.250.254.99
Coinbase Cloud,92168376354914182,3.249.94.146
BlockVision,65532328721895705,34.87.103.163
Staking Facilities,65231813175503896,5.199.170.77
OKXEarn,59968961732255023,43.207.255.138
ORBR,55034391869007230,78.141.245.48
stakefish,50768157699257190,147.75.199.7
Shinlabs,49874645112943148,43.130.123.214
Juicy Stake,48212308432463598,69.2.39.167
Ankr,47843869604172822,107.6.94.244
proofgroup,47007292992310523,207.53.234.207
KiligLab,46110269083959048,8.213.144.236
Allnodes,44871409807993812,169.155.45.15
Cypher Capital,44380542148920606,69.2.39.165
BiXinKelePool,42577102624185671,47.89.250.58
Staking Defense League,41981703451247720,188.214.129.144
n1stake,40036100507311974,173.231.17.194
Cosmostation,39533084305142182,172.255.251.44
StakeWithUs,38656760711173216,178.18.252.36
Staked,37388994514241137,54.195.211.175
Brightlystake,37368263063566511,139.84.155.177
BlockEden.xyz,37292174776246159,34.143.153.196
Peeranha,36350595769011900,45.250.253.92
SyncNode,36259356701463843,103.50.32.122
01node,36137967123268282,195.14.6.175
Stardust Staking,36107418965379146,93.115.25.67
Swiss Staking,36107359800862997,82.220.39.51
Imperator.co,36080189694348987,57.128.97.53
KingSuper,36066067412057581,139.84.139.8
Restake,36027996274645398,103.219.171.17
Neuler,36018297744268502,103.219.171.15
SynergyNodes,36011390950374569,194.48.168.246
Astro-Stakers,36010323211167916,195.189.96.115
B-Harvest,36008214720518647,198.13.34.226
ANodes,36004215383841346,8.218.16.91
[NODERS]TEAM x Criterion VC,35980176799675116,149.28.137.164
ONBUFF,35949608571841105,52.231.106.71
Chainflow,33006327211552198,185.8.104.18
Omnistake,32960627354973295,52.37.215.5
Anchorage Digital-1,31032957383657843,198.244.253.76
ZKValidator,30453872357912374,65.21.128.113
Stakely,29611936497157845,15.235.53.140
InfStones,28728005774629000,150.136.151.212
XPRV,28723537795427901,54.38.136.66
gumi,28328627198189232,13.230.215.202
Parasol,28326986674437730,43.130.125.249
Laine,28122475702547627,103.50.32.184
QuantNode,27898398992553925,103.50.32.129
HashKey Cloud,27898254156740030,52.77.43.187
Moonlet,27898099264150779,103.219.171.14
Stakin,27877689243993967,93.115.25.75
flipside,27875395474141776,198.178.224.97
Node Guardians,27871465524100071,51.222.152.21
NodeReal,27870847957973288,54.152.222.161
BLRD,27866922507286598,35.77.209.41
SpartanLabs,27832577258440545,5.199.170.96
TDMTech,27829242044719096,109.123.108.59
Staketab,27828142991277567,103.50.32.107
Forbole,27825064851559812,5.10.24.66
ComingChat,27819426616724671,45.32.11.180
Gaucho,27790841625433583,45.250.253.97
MoveFuns DAO,27785882389635491,135.181.228.230
Qredo,27785453488587002,65.108.111.57
H2O Nodes,27780494857901841,185.125.95.23
RepublicCrypto,27777816034585734,91.210.226.206
A41,27775555867186802,195.201.186.66
Nodeinfra,27753188820679242,34.80.99.216
SenseiNode,27597703624525804,69.67.148.48
MIDL.dev,26955908199687937,62.210.140.115
Latitude.sh,26743886282456241,103.219.168.185
