address,tokens
Polychain,1.2810005184193647e+25
Figment Networks,1.2025751582819929e+25
Deutsche Telekom,1.1938444941380862e+25
a16z,1.0486138451537419e+25
Manta Labs,1.0411571591234873e+25
,1.0245533665654678e+25
Anchorage Digital,8.976975608235214e+24
Binance-Staking-Group,8.057970917443135e+24
Bison Trails,6.188679896617214e+24
impactMarket,6.126379332178653e+24
GrassrootsEconomics,4.6803733675609964e+24
wotrust,4.675527609066701e+24
Blockdaemon,4.331147428430807e+24
Chorus One,4.068216075445223e+24
DSRV,3.9739484273074816e+24
ZanshinDojo.org,3.7746461361654194e+24
Validator.Capital,3.7680730106149967e+24
deDataLabs,3.722918619139471e+24
missionquorum-group,3.711942242806177e+24
Staking Fund,3.5529089588295573e+24
Stake DAO,3.4856597753114414e+24
cLabs,3.4787040512273247e+24
Easy2Stake Group,3.3775401744715646e+24
ChainLayer,3.371348093779478e+24
Cypher Core,3.312636028363791e+24
Usopp | usopp.club,3.2966871351162416e+24
AG,3.2961277911368764e+24
Perfect Stake,3.262467609947925e+24
SeedBed,3.2482651218212065e+24
celvaly,3.148078893536456e+24
Ledger by Figment,3.125203287778797e+24
TDlabs,2.944218113427519e+24
Censusworks,2.861046781655794e+24
StakeService.com,2.8433489513712236e+24
moonli.me,2.782629868808475e+24
The Celo Group,2.698359352774974e+24
Ryabina,2.6722106320717576e+24
Stakecito,2.6583111276016215e+24
VladiatorLabs.io,2.5640173334079164e+24
Simply Staking,2.539802306521997e+24
PlusV,2.5230240762454813e+24
Virtual Hive,2.4825978988774875e+24
Tessellated Geometry Alliance,2.4752728233211834e+24
Kytzu Group,2.449794570408635e+24
AnyblockAnalyticsGroup,2.4470545571644777e+24
ZKValidator,2.440580300819223e+24
huglester,2.4398182736212703e+24
🏢 Ministry Of Blocks 🏢,2.4040874384070085e+24
atweb3,2.3926371307522642e+24
nonce,2.3797896556257288e+24
Projecttent,2.3787075594849251e+24
Bi23 Labs,2.3422404393871007e+24
TPT,2.305280107991488e+24
Goods & Services,2.2986602477421486e+24
swiftstaking,2.2914994338146018e+24
Stakely.io,2.2644412558125143e+24
Masternode24.de,2.2633401567459888e+24
HashKey Cloud,2.1782605137839652e+24
syncnode_group,2.1535142457205308e+24
HappyCelo,1.9430137290682595e+24
keyko.io,1.8976906811143637e+24
chainvibes,1.7550576564944537e+24
Google Cloud Web3 Group,1.7202305191027957e+24
Telefonica,1.6818082561782097e+24
TeroLabs,1.6448362007829944e+24
MoonletWallet,1.6324692695223443e+24
Making.cash,1.5578986498646363e+24
gunray,1.3305706925014708e+24
Bitcandy 🍬,1.3257793338482232e+24
AUDIT.one,1.313738454903739e+24
Eat Pray Validate 🍴🙏🖥,1.3034026867020407e+24
01node,1.124654e+24
Polychain,5.5184904739268186e+23
Nodito Labs,4.416694816063593e+23
Tango,2.238015318710124e+23
CoinList,1.0897741362625765e+23
Celo.Works,5.989144313176105e+22
bitManna,4.04e+22
Chainflow,2.115765985767849e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.0000007810583e+22
stake.fish 🐠,1e+22
,1010374548676417.0
dynamic,0.0
