address,tokens
Binance Node,360237614
Luganodes,360132240
Twinstake,326665912
Web3Nodes Validator 🌎 0% fee,207477022
Synclub,196605118
Coinbase Cloud,184466134
Anonymous 93,182664592
Allnodes ⚡️ 0% fee,166815733
Vault Staking,129762948
Anonymous 94,126371908
Figment,111210444
Stakin,99766686
Kiln x Ownest 🔸 Pro Staking 🔸,72286789
Republic Crypto / Source,66418173
Blockdaemon,61896253
Everstake 0% fee,60128839
Anonymous 91,58471176
Staked,52304388
SelfLiquidity,51341079
Matic Fans,50631123
Upbit Staking,48400007
Staking4all - 0% fee,44236104
Girnaar Nodes,35878455
The Abyss (0% commission),29116806
Infosys,20515927
Anonymous 92,20130159
bountyblok 0% fee,19328019
Supermoon,18931147
Witval,18382959
Smart Stake,17530895
HashKey Cloud,15756536
Prometheus Pool,15631776
Worldpay from FIS,14819602
algo | stake,14501755
StakePool,14317200
Bware Labs,13864893
kytzu,12860182
Abyss Finance 🔥 0% fee,12815835
Matrix Stake,12763733
Shard Labs,12510770
InfStones,12293211
DSRV,12042520
Newroad Network,11106683
🐠 stake.fish,10121491
Stake Capital,10000564
Blue Ocean,9056188
Meria,8810550
Fahrenheit ❄️ 0%,6584282
Vader73 - 0% commission for life,6549839
PolygonGo,6046184
Chorus One,5699485
Sakura Foundation,5698193
Making.cash | Long term fee 0%,5533197
SolidStake,5162046
Valis Labs,4779677
Perfect Stake 🥩,4770582
Deutsche Telekom,4765174
ANON LowFee,4434431
Nobi,4056813
Chainflow,3315073
CheckBit 0% fee,3021643
EMC2 Node,2995316
Stake.Works,2675690
WolfEdge Capital,2647544
Rasputin,2484883
FreshSTAKING,2367637
Proton Gaming,2294464
VC Capital,2106845
Data Nexus,2087418
Deepheat,1657652
StakeBaby,1602784
Streamr,1595372
Coinstash,1476073
MCLB & fBOMB,1392784
AnkrValidator,1338097
PathrockNetwork,1297844
DeFiMatic,1255237
P2P.org,1222686
Tessellated,1211241
BCW Technologies,1149137
Atlas Staking,1043442
StakeCraft,1043028
BLRD,977990
Wetez,903225
Re-Initializing,843645
Blocks United,833376
Azuki Validator,789386
Cryptonomicon,599936
MyCointainer.com,538584
Mind Heart Soul,457860
Torus Validator,413139
Northstake,409168
Masternode24.de,403443
stake.new,209822
Anonymous 112,136808
Blockops,78210
🍒 RYABINA 🍒,32346
NEOPIN,30001
Validatrium,27220
Blockfly,20001
Poly Finance,20000
Simply Staking,10901
Google Cloud,10155
Finoa Consensus Services,10005
Mantra DAO,1
