address,tokens,ip_address
Figment,283701343042014837,51.222.248.87
Blockdaemon,252736495161736844,208.91.107.169
Mysten-2,240803342405056218,136.244.64.220
P2P.ORG,225104406808132540,212.117.185.244
Luganodes,209870031889141730,93.115.25.174
Triton One,200906314074578136,202.8.8.8
Anchorage Digital-2,187723707731686201,136.243.55.238
Chorus One,181760651689434801,46.165.244.19
TrustedPoint,179449405087063499,45.250.253.74
Mysten-1,159737229100267823,45.63.91.154
ContributionDAO,157032065533213176,141.95.99.142
Blockscope.net,155448157220118019,15.235.82.231
StakingCabin,155169692845375473,54.64.235.237
Kiln,148689845919994639,57.128.73.31
Bware Labs,147117809916218754,141.95.34.55
mrgn,144489575379171549,141.98.216.164
Everstake,143373639101318328,45.250.254.103
Chainode Tech,142088628448171461,103.50.32.114
Overclock,142073796626628030,45.250.253.99
Shinlabs,141515719181268554,43.130.123.214
Artifact,138420339077331732,206.125.33.6
Dankuzone_w_DAIC,138408072708915904,37.252.184.226
Galaxy Digital,138378933652593679,52.215.11.218
Nelrann,138143114044148370,185.209.178.171
Ahoy Validator,137674974099053680,103.50.32.109
DSRV,135800837887375805,141.95.171.152
HashedPotatoes,126686263433610062,69.67.149.35
Nodes.Guru,118283276488976231,135.181.18.112
Chainbase,118274098841317127,43.154.164.179
BartestneT,118214359792224286,45.250.253.76
P-OPS Team,118208781554411743,185.8.104.19
TPT,118080774096803196,18.246.8.19
Aftermath,114969635301449620,57.128.47.71
Persimmon,113902661757903640,35.74.25.246
Durian,113675761435494567,13.229.58.139
Citadel.one,108146191363982570,141.94.137.186
Scale3Labs,107867255477887447,45.250.254.151
Cogent Crypto,94724784833483566,45.250.254.99
Coinbase Cloud,92545468918326042,3.249.94.146
BlockVision,65684835924873353,34.87.103.163
Staking Facilities,65215252958156003,5.199.170.77
ORBR,53233017100192502,78.141.245.48
OKXEarn,52266928167463496,43.207.255.138
stakefish,48536187236739599,147.75.199.7
Juicy Stake,48040465739626790,45.250.253.84
proofgroup,46854741406286389,207.53.234.207
KiligLab,45960549763048552,8.213.144.236
Cypher Capital,44240567477194865,45.250.253.95
Allnodes,44082639300755865,169.155.45.15
BiXinKelePool,42438939029847915,47.89.250.58
Staking Defense League,41847362107962029,188.214.129.144
n1stake,39904343407257435,173.231.17.194
StakeWithUs,38492824786563448,178.18.252.36
Ankr,37414631942749930,107.6.94.244
Staked,37256905407663759,54.195.211.175
Brightlystake,37235194354794144,139.84.155.177
BlockEden.xyz,37156257164485724,34.143.153.196
Cosmostation,36826211640789714,172.255.251.44
Peeranha,36237659545878460,45.250.253.92
SyncNode,36142128076069776,103.50.32.122
01node,36059009974377870,195.14.6.175
Stardust Staking,35982160821526467,93.115.25.67
ONBUFF,35961728322254570,52.231.106.71
Swiss Staking,35960538269756363,82.220.39.51
B-Harvest,35950256877565964,198.13.34.226
Imperator.co,35940579013935912,57.128.97.53
KingSuper,35934452547462122,[Errno -2] Name or service not known
SynergyNodes,35895334588598335,194.48.168.246
Restake,35893882461098041,103.219.171.17
Astro-Stakers,35889356985813953,141.95.99.201
Neuler,35886526314090447,103.219.171.15
ANodes,35877168954761463,47.242.178.190
[NODERS]TEAM x Criterion VC,35867562385146593,149.28.137.164
Chainflow,32868964090300672,185.8.104.18
Omnistake,32828875326313007,44.230.61.141
Anchorage Digital-1,30923850920468296,198.244.253.76
ZKValidator,30339510796792313,37.27.62.100
Stakely,29869004158006118,15.235.53.140
XPRV,28626370099056459,54.38.136.66
InfStones,28481562825171081,150.136.151.212
Parasol,28237283960494541,43.130.125.249
gumi,28228564201031308,13.230.215.202
Laine,28027071889799202,103.50.32.184
Moonlet,27822379012555053,103.219.171.14
HashKey Cloud,27806115429671345,52.77.43.187
QuantNode,27798859586641839,103.50.32.129
SpartanLabs,27790469418066536,5.199.170.96
flipside,27780133537983850,198.178.224.97
Stakin,27775240409706150,93.115.25.75
BLRD,27769952800890000,35.77.209.41
NodeReal,27766331574384148,54.152.222.161
TDMTech,27758260050026968,109.123.108.59
Staketab,27746461102311838,103.50.32.107
Node Guardians,27728900334192851,51.222.152.21
Forbole,27721227596112820,5.10.24.66
ComingChat,27720090560706430,45.32.11.180
Nodeinfra,27694513949492047,34.80.99.216
A41,27690534705829675,195.201.186.66
Gaucho,27688464797433171,45.250.253.97
H2O Nodes,27684046761264480,185.125.95.23
MoveFuns DAO,27682080934066976,135.181.228.230
Qredo,27679344202437151,65.108.111.57
RepublicCrypto,27560190701901538,91.210.226.206
SenseiNode,27493733901518348,69.67.148.48
MIDL.dev,26685824181503446,62.210.140.115
Latitude.sh,26657453671814727,103.219.168.185
