address,tokens
Polychain,38804102292736
Go,33664777663908
Finoa Consensus Services,33232877356334
bitcoinsuisse.com,32963222290390
Chorus One,30751352632314
Unit 410,25276196209061
P2P.ORG,22171737834674
Coinbase Cloud,21706463388741
CUCK.,18405719247123
Little Dipper,12846999304325
Figment,12760257939835
P-OPS Team,12646016236029
Cosmostation,11347522479996
Twinstake,10415754178716
Keplr (formerly known as Blockapsis),8527844254660
Imperator.co,8361996446076
Binary Builders,8131701537994
Nodes.Guru,7720624121140
polkachu.com,7295503654722
Qubelabs,6265137902463
Staking Facilities,5998272670265
Hex Technologies,5832224051387
XPRV,5805171009050
Baza,5712997134253
ZKValidator,5085569315712
senggigi,5000875589956
Nocturnal Labs,4771723593188
GalaxyDigital,4511812360224
AI,3610386808853
StakeWithUs,3544781723187
Upnode | 0% Fee,3390166253273
Validatus,3355780459812
MZONDER,3097137827886
BlackBlocks,2857699009582
Stakecito,2843728283719
01node,2734663698774
Staked,2329211745516
BinanceNode,2118708730622
W3.Hitchhiker,1794329320009
alphab.ai,1628145683003
 kjnodes.com 🦄,1606475818865
 Lavender.Five Nodes 🐝,1585844542328
LatamNodes,1467232344546
Allnodes,1454218132704
Node Guardians,1364648425407
NodeStake,1345839784933
NakoTurk,1312891966827
Enigma,1234096810389
Easy 2 Stake,1189445566469
Forbole,1143363307615
B-Harvest,1125137313839
Brightlystake,1063763937821
BwareLabs,1048855162790
Stakin,1004581385230
"Frens (🤝,🤝)",943621645339
Everstake,874999935368
Stakely.io,871321523505
DSRV,842908799162
Larry Engineer,802169679945
kooltek68,796575561838
FreshSTAKING,786951362950
Kiln,778734985677
StakingCabin,729619805041
ContributionDAO,717800680784
Swiss Staking,700611826451
KEK,624473379482
Lemniscap,601179349440
Gunter,575842750030
Cumulo,566834123914
Staking4All,561461754796
BitNordic,550287609226
KingSuper,550025035665
Meria,540329188036
moonli.me,534521374355
Suntzu,533471089853
0xFury,529901820578
Validatrium.com,529283127489
✅ CryptoCrew Validators,524349666069
ChainodeTech,521297216077
Maple Nodes,518495602718
LowFeeValidation,517488737001
AM Solutions 🪐,514789579349
Moonlet,508743805924
[NODERS]TEAM,503802497180
wavefive,492703360897
Conqueror,492634936551
Stake🦑Squid,482045559821
strangelove,465471126233
Staker Space,455394366043
spidey,444512341717
PartnerStaking,438793108007
Active Nodes,438750422514
StakeLab.zone,437513226974
counterpoint,434192689767
Neoprom,425225088206
quantumcore,423042292666
Neuler,421537444085
 Blockscope.net,417269194414
4sv,412327190181
Notional,358845817596
🍒 RYABINA 🍒,350747678102
Blockdaemon,74379064156
Crosnest,16145504234
Smart Stake 📈📊 | 5% max,14067400000
nysa.network,5138058310
 AutoStake 🛡️ Slash Protected,3989202815
Witval,1502397275
Anonstake,991000000
[Please redelegate],945262643
F5 Nodes,912000000
BloClick,905268670
KubikStaking,381600000
AVIAONE 🟢,330151546
Informal Systems,258000000
INACTIVE-DO NOT DELEGATE,250000000
Artifact,245600000
StakePool,146540187
InfStones,146000000
POSTHUMAN∞DVS,113027615
BlockHunters 🎯,100000000
ECO Stake 🌱,90254151
GPvalidator,79437169
T DATA,62200000
vortexray,50000000
Cosmos Spaces,48292100
Bro_n_Bro,42000000
SG-1,41600000
Stakeflow | 5% Fee until 2024,27852875
validao,26000000
Stake.Works | Celestia,25000000
node101,22202360
0base.vc,21636129
ITALY - Lowest Commission,17000000
AndromedaPool,16600000
jabbey,12300000
cryptonodes.pro,12000000
Tessellated,11600000
Architect Nodes,9000000
Huginn,6300000
Ubik Capital,6000000
NacionCrypto - Parceros,5752400
please Redelegate,5010000
openstake.net,5000000
Citizen Web3,4239000
Kleomedes,3000010
EU,3000000
STAKEME,3000000
  Oni ⛩️,3000000
Inter Blockchain Services,2550000
NodeX Emperor ⚡ Celestia,2105456
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2000000
,2000000
0% EU Fast Validator,1500000
Sr20de,1100000
Stake&Relax 🦥,1000000
bg-0d,1000000
SquallNetwork,1000000
Farrari_TestNode,1000000
Node & Validator,1000000
Chainflow,1000000
Avril14th,1000000
PathrockNetwork,1000000
na,1000000
Equinox,1000000
MAHOF,1000000
IcyCRO 🧊,1000000
Synergy Nodes,1000000
Kaizoku Labs,1000000
OmniFlix Network,1000000
PowerStaking,1000000
AviaStake,1000000
Brick,1000000
RockX,1000000
Madrona,1000000
Wave,1000000
silent,1000000
WexclaW,1000000
AiC DAO,1000000
iCosmosDAO,200000
securesecrets,10000
Multiplex,1000
