tokens,address
22564083891422,reynisfjara
20990501037627,Cosmostation
13552471763672,Electric
12664467076636,Chorus One
11519839480042,Figment
6194587493391,Inotel
5099721168294,SG-1
4802960315363,Notional
4708800599534,Frog OSMO
4423243389220,Imperator.co
4378851701121,"Frens (🤝,🤝)"
4293740746262,polkachu.com
4228428751915,🐠stake.fish
4136408472596,Sentinel dVPN
3944299618738,BouBouNode
3898146467480,Citadel.one
3834723635589,CryptoCrew Validators ✅
3816835339643,binary_holdings
3811223485848,Zero Knowledge Validator (ZKV)
3807247472602,01node
3644978679306,Stakecito
3557518931993,Larry Engineer
3541011064207,Allnodes
3490031746539,wosmongton
3430126576871,PRYZM | Stake & Earn
3385300545327,Informal Systems
3327508647241,Chandra Station 
3278750725598,POSTHUMAN∞DVS
3136777086674,DSRV
3063789576999,ShapeShift DAO
3038719146483,Peregrine
3002185754478,tree-frog
2965571595862,OmniFlix Network
2926493856370, Lavender.Five Nodes 🐝
2884999238653,Node Guardians
2824777272927,Parakeet
2681244029398,White Marlin Staking
2675639612185,0base.vc
2668264497517,S16 Research Ventures
2552990355783,Bro_n_Bro
2459886183963,Ledger by Figment
2420043776007,iqlusion
2381047525033,Forbole
2364942939224,B-Harvest
2327530337758,Provalidator
2299489332668,interchain.FM🥩
2248394367239,StakeLab
2238390683048,#decentralizehk - DHK dao
2226617316468,Cosmos Spaces ☮️💜⚛️
2209126305780,Stakewolle.com |100% Insurance
2125172561644,Nocturnal Labs
2120489582157,Crypto Assassin
2113179218681,ECO Stake 🌱
2026454580813,Crosnest
2024197989623,Smart Stake 📈📊
1975527310347,nonce community
1925784076689,jabbey
1799661857189,Golden Ratio Staking
1796428952204,Cosmology
1786371251751,Hathor Node
1770804974886,Swiss Staking
1747889437769,strangelove-ventures
1734197613889,   WhisperNode🤐
1722996695455,Blockdaemon
1717996391249,Klub Staking
1712989632108,Manythings
1648949095196,Stakely.io
1620261910029,Coinbase Cloud
1568308220039,Leonoor's Cryptoman
1552002844057,ChainLayer
1545197391882,Ping
1511267723227,KDF
1503954644028,binance staking
1403557488932,Silk Nodes
1398529879574,Atomic Nodes
1385689593884,[ block pane ]
1366402550372, AutoStake 🛡️ Slash Protected
1365952742447,Ethereal Ventures
1358411512728,Interbloc
1356631125435,StakeWithUs
1253615317693,danku_zone w/ DAIC
1193872836583,Interop
1166099421557,commercio.network
1123461617063,nonce classic
1109144940462,Chihuahua
1075387353506,The_Cybernetics
998114649050,Meria
965071862578,Multiplex
950367158426,blockscape
898947106487,Chill Validation
885395307958,Chainflow
874064628723,[Beehive]🇰🇷
864099942675,PRO Delegators
851120945359,Witval
849617650108,DAO DAO
838715198437,Simply Staking
834392548503,🇨🇭 Vortex.live 🟢
833675943339,Interstellar 🍸
823303586036,SmartNodes
820750224178,"Stargaze.zone (✨,🔭)"
782490665485,Oni ⛩️
767304733462,KalpaTech
762529889198,in3s.com
737801852904,Tessellated
678906894545,NosNode🔮
665313047238,AUDIT.one
629432276720,SpectrumX
620265613282,Cypher Core
612632784278,Uncle Ed
597675595563,stake.systems | autocompound
596506102196,FreshSTAKING
592616033945,Tedcrypto.io 🧸 | TedLotto
586998058656,Gelotto 🛡 Slash Protected
558928997959,Zenscape
549380084348,validator.network
542385538992,syncnode
498864369625,Bored Ape Server
480216382756,Astroquirks | Profit Sharing 🤑 💰
465336671976,CrowdControl
444870960354,Merkan
432970574791,ushakov
411259146073,Active Nodes
408524959837,GATA DAO
384702048325,Kintsugi Nodes
380549149232,Levana 🐉 Powered by Cros Nest
376138863936,kooltek68
319437622979,defiantlabs
317419779336,ztake.org
288293638589,Obi
285748517822,Quebec
283331587970,dimi 🦙
273313303570,Dora Factory
265843362277,Komikuri
258569046008,Everstake
257771774553,DACM
256747313756,TaxiStake
254368946192,16psyche
238935610383,coinhall.org
238495914841,Bi23 Labs
236381410618,StakeThat - autorestake
236092812502,Coverlet
235914273660,Oldcat
234750067973,artifact
233920151996,Validatus
229792556049,AlphaNodes.OSMO
225888193570,Secure Secrets
216346284645,DELIGHT
216227209766,Coinpayu
205078603209,Staking Fund
192752996781,a41
