address,tokens
Figment Networks,1.2058675335226835e+25
Deutsche Telekom,1.0609851447835897e+25
Manta Labs,1.0450058474023061e+25
a16z,1.0448101926621495e+25
,9.419489117516445e+24
Anchorage Digital,8.599456016888872e+24
Binance-Staking-Group,8.051115383677742e+24
,7.437497994085118e+24
Polychain,6.665832090321637e+24
impactMarket,6.398651195152522e+24
Bison Trails,6.31257442358405e+24
ChainLayer,4.948629654229828e+24
wotrust,4.936044388486847e+24
Blockdaemon,4.314034205411487e+24
Ledger by Figment,4.120699497665334e+24
DSRV,4.0664973885817807e+24
Chorus One,4.059952069165142e+24
Validator.Capital,3.8724941232341283e+24
missionquorum-group,3.797364931801486e+24
ZanshinDojo.org,3.760167076374705e+24
deDataLabs,3.718089620673015e+24
AG,3.571020778700757e+24
Staking Fund,3.5292772067645337e+24
HappyCelo,3.5178668881568515e+24
Usopp | usopp.club,3.509769735732664e+24
Stake DAO,3.4716775575638684e+24
cLabs,3.4298412496553417e+24
Easy2Stake Group,3.355478709612083e+24
celvaly,3.3159216947578116e+24
chainvibes,3.3141588840591975e+24
Cypher Core,3.299586985962676e+24
Perfect Stake,3.25005423533385e+24
TDlabs,3.243549656095806e+24
SeedBed,3.2355354883025394e+24
keyko.io,3.001589209086993e+24
StakeService.com,2.809390512452985e+24
Tessellated Geometry Alliance,2.7764598877510577e+24
moonli.me,2.7484957264083394e+24
The Celo Group,2.6648041612258577e+24
Ryabina,2.661671598813689e+24
Censusworks,2.6582446076851714e+24
Projecttent,2.657135714938909e+24
Stakecito,2.6472835718349267e+24
Stakely.io,2.569567218854366e+24
ZKValidator,2.562754875774741e+24
VladiatorLabs.io,2.5539145601096484e+24
Simply Staking,2.530105037279452e+24
PlusV,2.4799735033607846e+24
Virtual Hive,2.4732277604293713e+24
Making.cash,2.472213100446538e+24
gunray,2.4431882718948345e+24
AnyblockAnalyticsGroup,2.437412641739008e+24
Kytzu Group,2.433558206489148e+24
huglester,2.430204870695121e+24
swiftstaking,2.400718328004457e+24
🏢 Ministry Of Blocks 🏢,2.3946336426918376e+24
atweb3,2.3832096394483024e+24
nonce,2.3704127784418993e+24
Bi23 Labs,2.333011536775867e+24
Goods & Services,2.2999034347090454e+24
TPT,2.2961968160035654e+24
syncnode_group,2.2636325227467302e+24
Masternode24.de,2.2544728311223676e+24
HashKey Cloud,2.169677710504223e+24
MoonletWallet,1.7446354461259347e+24
Google Cloud Web3 Group,1.6612173069664786e+24
TeroLabs,1.640226935424079e+24
Bitcandy 🍬,1.3519574030176544e+24
AUDIT.one,1.313738454903739e+24
Eat Pray Validate 🍴🙏🖥,1.3130841323230915e+24
01node,1.125380590514699e+24
Nodito Labs,4.416694816063593e+23
Tango,3.894405529237348e+23
CoinList,1.090342603060099e+23
Celo.Works,5.989144313176105e+22
bitManna,4.04e+22
Chainflow,2.115765962711141e+22
GrassrootsEconomics,2.0009e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.0000007810583e+22
Telefonica,2e+22
stake.fish 🐠,1e+22
,3.675057721490572e+20
,7251834942689219.0
,1010374548676417.0
+ + =,0.0
dynamic,0.0
