address,tokens,ip_address
Figment,278585234298662552,51.222.248.87
Blockdaemon,258070226995463189,208.91.107.169
Mysten-2,253796143450986228,136.244.64.220
Mysten-1,251619516093783523,45.63.91.154
Triton One,202970112052563372,202.8.8.8
P2P.ORG,201912226307672965,212.117.185.244
Anchorage Digital-2,186191545846513581,136.243.55.238
TrustedPoint,180875332210548900,45.250.253.74
Luganodes,172160311347717617,93.115.25.174
Chorus One,160366695543362959,46.165.244.19
Blockscope.net,156223432176713945,15.235.82.231
Kiln,148488639243175950,57.128.73.31
Bware Labs,147817789922707657,141.95.34.55
Overclock,142780023412235940,84.17.53.103
Everstake,142520149630225233,45.250.254.103
Dankuzone_w_DAIC,139113802050617199,37.252.184.226
Ahoy Validator,138322609433865828,103.50.32.109
DSRV,136485882527923499,141.95.171.152
mrgn,130625720796067715,141.98.216.164
Chainode Tech,122457982434265583,103.50.32.114
ContributionDAO,121591034337560676,141.95.99.142
Aftermath,119426968035491328,57.128.47.71
BartestneT,118796521955310284,45.250.253.76
Galaxy Digital,118268646078467846,52.215.11.218
Durian,114240336248266260,47.128.225.39
Persimmon,114228917627888388,35.74.236.77
Scale3Labs,108388638779814372,45.250.254.151
n1stake,105133671430106932,173.231.17.194
Staketab,103722041506391708,103.50.32.107
HashedPotatoes,103426716728646337,69.67.149.35
Cosmostation,98676610242426447,172.255.251.44
Artifact,93405387813608566,206.125.33.6
Coinbase Cloud,91967183040591734,3.255.91.24
Chainbase,89268615253054033,43.154.164.179
01node,88461939752375300,195.14.6.175
P-OPS Team,87683911517595195,185.8.104.19
TPT,87465094797408955,161.97.131.71
Laine,83206083469358039,103.50.32.184
KingSuper,81171262609749947,139.84.139.8
BlockVision,80532078921370604,34.87.103.163
RepublicCrypto,77839719983712724,91.210.226.206
KiligLab,76193980173949824,8.213.144.236
Stardust Staking,75432017399827757,93.115.25.67
ORBR,75375480582702607,78.141.245.48
Chainflow,74426570661095780,185.8.104.18
Restake,72659814595379095,103.219.171.17
ONBUFF,71027712917725199,52.231.106.71
Nodeinfra,68884134487357118,34.80.99.216
Staking Facilities,65248735606561070,5.199.170.77
OKXEarn,62962154258686449,43.207.255.138
StakingCabin,62657135010742815,54.64.235.237
Citadel.one,62364603386143710,141.94.137.186
Stakin,57939491605723275,93.115.25.75
MoveFuns DAO,57843269820915277,135.181.228.230
stakefish,51484252172868275,147.75.199.7
proofgroup,47077318020572350,207.53.234.207
Ankr,45499178561989235,107.6.94.244
Allnodes,44959542097345301,169.155.45.15
Cypher Capital,44442490410427191,69.2.39.165
Shinlabs,43401772891914146,43.130.123.214
BiXinKelePool,42633824254935516,47.89.250.58
Staking Defense League,42035656344604531,188.214.129.144
Nelrann,41019159996812520,185.209.178.171
Gaucho,38822278361741807,45.250.253.97
StakeWithUs,38715505160106698,178.18.252.36
Cogent Crypto,38266982142428452,45.250.254.99
Juicy Stake,37972892042598463,69.2.39.167
Brightlystake,37411753868274409,139.84.155.177
BlockEden.xyz,37346036930837187,34.143.153.196
Staked,37339862405800790,54.195.211.175
Nodes.Guru,36619243942367806,141.95.99.90
Peeranha,36404878243677904,45.250.253.92
SyncNode,36336929363086218,103.50.32.122
Swiss Staking,36171084710870805,82.220.39.51
Imperator.co,36123956420151123,57.128.97.53
Neuler,36066567057559769,103.219.171.15
B-Harvest,36063381024708794,198.13.34.226
Astro-Stakers,36061651243729246,195.189.96.115
SynergyNodes,36059918477763459,194.48.168.246
ANodes,36050479252626582,8.217.239.246
[NODERS]TEAM x Criterion VC,36027414946519028,149.28.137.164
Omnistake,33006561770936584,44.230.61.141
Anchorage Digital-1,31077826279799387,198.244.253.76
ZKValidator,30498258384638074,65.21.128.113
Stakely,29662932053227308,15.235.53.140
InfStones,28978811046633907,150.136.151.212
XPRV,28765123704759117,54.38.136.66
ComingChat,28728382521878432,45.32.11.180
Parasol,28364651431077744,43.130.125.249
gumi,28341104470290742,13.230.215.202
QuantNode,27938946661950653,103.50.32.129
Moonlet,27938805246990178,103.219.171.14
HashKey Cloud,27938047203619616,52.77.43.187
Node Guardians,27927311210639643,51.222.152.21
NodeReal,27913206291230452,54.152.222.161
BLRD,27907507248637355,35.77.209.41
SpartanLabs,27874928183142307,5.199.170.96
TDMTech,27869775608109342,109.123.108.59
Forbole,27864008366829217,5.10.24.66
H2O Nodes,27816264194087328,185.125.95.23
A41,27805668089851118,195.201.186.66
SenseiNode,27637303811224655,69.67.148.48
MIDL.dev,27003342117823086,62.210.140.115
Latitude.sh,26777516648178265,103.219.168.185
flipside,20837954677267377,198.178.224.97
Qredo,20756760385980350,65.108.111.57
