address,tokens,ip_address
Figment,278938224435835882,51.222.248.87
Blockdaemon,253539733000186078,208.91.107.169
Mysten-2,249552926049882348,136.244.64.220
P2P.ORG,222295436125605990,212.117.185.244
Luganodes,206357026147586020,93.115.25.174
Triton One,201102788903549604,202.8.8.8
Anchorage Digital-2,187868805418898849,136.243.55.238
Chorus One,181868010424261074,46.165.244.19
TrustedPoint,179583919731824635,45.250.253.74
Mysten-1,161141149843633910,45.63.91.154
ContributionDAO,157260191234199365,141.95.99.142
Blockscope.net,155565277692840169,15.235.82.231
StakingCabin,155276728992780381,54.64.235.237
Kiln,148845719116957711,57.128.73.31
Bware Labs,147232271462972493,141.95.34.55
mrgn,144648085212226753,141.98.216.164
Everstake,142362847991383421,45.250.254.103
Chainode Tech,142221157134510809,103.50.32.114
Overclock,142179510171179656,45.250.253.99
Shinlabs,141605932628624250,43.130.123.214
Artifact,138526628528964416,206.125.33.6
Dankuzone_w_DAIC,138515924554818394,37.252.184.226
Galaxy Digital,138480955250526297,52.215.11.218
Nelrann,138205093384149448,185.209.178.171
Ahoy Validator,137768747141349691,103.50.32.109
DSRV,135916550810959609,141.95.171.152
HashedPotatoes,126950675597411781,69.67.149.35
Chainbase,118367264139597913,43.154.164.179
Nodes.Guru,118322491948886468,135.181.18.112
BartestneT,118301521084725311,45.250.253.76
P-OPS Team,118300231903873141,185.8.104.19
TPT,118159919106147267,18.246.8.19
Aftermath,115222437360847279,57.128.47.71
Persimmon,113991504768977989,35.74.25.246
Durian,113764484012726185,13.229.58.139
Citadel.one,108201330101118243,141.94.137.186
Scale3Labs,107930003730517753,45.250.254.151
Cogent Crypto,94793008724427223,45.250.254.99
Coinbase Cloud,91807078754941124,3.249.94.146
BlockVision,65571831554738968,34.87.103.163
Staking Facilities,65265413459652484,5.199.170.77
OKXEarn,54721058466587930,43.207.255.138
ORBR,53502382103733846,78.141.245.48
stakefish,49499466665980588,147.75.199.7
Juicy Stake,48071804678470550,45.250.253.84
proofgroup,46880244723287370,207.53.234.207
KiligLab,45996140023647167,8.213.144.236
Allnodes,44593667086226489,169.155.45.15
Cypher Capital,44268308725903741,45.250.253.95
BiXinKelePool,42465338627303079,47.89.250.58
Staking Defense League,41870649596418551,188.214.129.144
n1stake,39934866565292196,173.231.17.194
Ankr,38743671254975406,107.6.94.244
StakeWithUs,38523742434234244,178.18.252.36
Staked,37279193419160976,54.195.211.175
Brightlystake,37262476785494295,139.84.155.177
BlockEden.xyz,37188344022548954,34.143.153.196
Cosmostation,36301737551770068,172.255.251.44
Peeranha,36250568414949759,45.250.253.92
SyncNode,36168869454542851,103.50.32.122
01node,36086004531746253,195.14.6.175
Stardust Staking,36000682282777607,93.115.25.67
Swiss Staking,35985660396377711,82.220.39.51
ONBUFF,35983577312154916,52.231.106.71
Imperator.co,35979378219100787,57.128.97.53
B-Harvest,35977194675393415,198.13.34.226
KingSuper,35961080404013055,139.84.139.8
Restake,35923823741187382,103.219.171.17
SynergyNodes,35921617490322839,194.48.168.246
Neuler,35915898784967892,103.219.171.15
Astro-Stakers,35913454065124074,141.95.99.201
ANodes,35903152790894469,8.218.16.91
[NODERS]TEAM x Criterion VC,35894055692363384,149.28.137.164
Chainflow,32913799871221362,185.8.104.18
Omnistake,32864997287170162,52.37.215.5
Anchorage Digital-1,30945602481929489,198.244.253.76
ZKValidator,30363797597669360,37.27.62.100
Stakely,29435395983122754,15.235.53.140
XPRV,28644848705570442,54.38.136.66
InfStones,28380948984205444,150.136.151.212
Parasol,28256443189860299,43.130.125.249
gumi,28248729114559640,13.230.215.202
Laine,28051770251384226,103.50.32.184
HashKey Cloud,27822418002088363,52.77.43.187
QuantNode,27820375253366745,103.50.32.129
Moonlet,27817353643800950,103.219.171.14
SpartanLabs,27811676332796282,5.199.170.96
flipside,27800482775071157,198.178.224.97
Stakin,27794163110445986,93.115.25.75
BLRD,27791091245537325,35.77.209.41
NodeReal,27788651917533943,54.152.222.161
TDMTech,27776245004493334,109.123.108.59
Staketab,27775989224246410,103.50.32.107
Node Guardians,27749011039340562,51.222.152.21
ComingChat,27741975460951927,45.32.11.180
Forbole,27737967675739505,5.10.24.66
Nodeinfra,27716004036251398,34.80.99.216
Gaucho,27712293492495299,45.250.253.97
A41,27711274022023647,195.201.186.66
MoveFuns DAO,27707881123944583,135.181.228.230
H2O Nodes,27704482372473712,185.125.95.23
Qredo,27700574239744403,65.108.111.57
RepublicCrypto,27574754686743505,91.210.226.206
SenseiNode,27515748606128538,69.67.148.48
MIDL.dev,26828558003447764,62.210.140.115
Latitude.sh,26674107870815482,103.219.168.185
