address,tokens,ip_address
Figment,285597596239511717,51.222.248.87
Mysten-1,259125035593155042,45.63.91.154
Blockdaemon,255293384477329157,208.91.107.169
Mysten-2,252688648983323375,136.244.64.220
P2P.ORG,218547832908399430,212.117.185.244
Triton One,201495483655658294,202.8.8.8
Luganodes,195361707166868944,93.115.25.174
Anchorage Digital-2,188131282101140932,136.243.55.238
Chorus One,183017607485376469,46.165.244.19
TrustedPoint,179856716597853871,45.250.253.74
ContributionDAO,157584708868232828,141.95.99.142
Blockscope.net,155794849059864036,15.235.82.231
StakingCabin,151844339760051818,54.64.235.237
Kiln,148846133947721154,57.128.73.31
Bware Labs,147430225940165527,141.95.34.55
mrgn,145044383948589279,141.98.216.164
Chainode Tech,142623900633707347,103.50.32.114
Everstake,142482068346883461,45.250.254.103
Overclock,142383725247416219,45.250.253.99
Artifact,138891235043026456,206.125.33.6
Dankuzone_w_DAIC,138724724070617677,37.252.184.226
Galaxy Digital,138684026055259168,52.215.11.218
Nelrann,138395809311926597,185.209.178.171
Ahoy Validator,137952813432841517,103.50.32.109
DSRV,136113439414752596,141.95.171.152
HashedPotatoes,133291449439634697,69.67.149.35
Chainbase,118527165236322530,43.154.164.179
Nodes.Guru,118495814068942473,135.181.18.112
BartestneT,118465323165343925,45.250.253.76
P-OPS Team,118456387554725264,185.8.104.19
TPT,118294274204406064,161.97.131.71
Aftermath,116800372183776552,57.128.47.71
Persimmon,114149929652664084,35.74.25.246
Durian,113923293015343425,13.229.58.139
Citadel.one,108414382091839614,141.94.137.186
Scale3Labs,108076556562597509,45.250.254.151
Cogent Crypto,94918332580702317,45.250.254.99
Coinbase Cloud,91884589524416992,3.249.94.146
BlockVision,65660884402101901,34.87.103.163
Staking Facilities,65291175802976879,5.199.170.77
OKXEarn,60815928077481176,43.207.255.138
ORBR,54187949689588629,78.141.245.48
Shinlabs,49936011193873465,43.130.123.214
stakefish,48801156517448832,147.75.199.7
Juicy Stake,48138436539506453,69.2.39.167
Ankr,47190925385592994,107.6.94.244
proofgroup,46951782814445564,207.53.234.207
KiligLab,46053566566259907,8.213.144.236
Allnodes,44769282055061722,169.155.45.15
Cypher Capital,44327599715010564,69.2.39.168
BiXinKelePool,42526409397537514,47.89.250.58
Cosmostation,42031460730387446,172.255.251.44
Staking Defense League,41926779519191795,188.214.129.144
n1stake,39990193989313985,173.231.17.194
StakeWithUs,38599407047438868,178.18.252.36
Staked,37335489970706044,54.195.211.175
Brightlystake,37319100920346282,139.84.155.177
BlockEden.xyz,37244109986521245,34.143.153.196
Peeranha,36304515755338716,45.250.253.92
SyncNode,36216640663239379,103.50.32.122
01node,36106224454817954,195.14.6.175
Stardust Staking,36073040358371458,93.115.25.67
Swiss Staking,36051379711112603,82.220.39.51
Imperator.co,36044875152195441,57.128.97.53
B-Harvest,36034641769333987,198.13.34.226
ONBUFF,36031823015329322,52.231.106.71
KingSuper,36020981077011720,139.84.139.8
Astro-Stakers,35976794834281659,195.189.96.115
Neuler,35975179593549596,103.219.171.15
Restake,35974976637830831,103.219.171.17
SynergyNodes,35966640525927623,194.48.168.246
ANodes,35954832359945733,8.218.16.91
[NODERS]TEAM x Criterion VC,35939898685929354,149.28.137.164
Chainflow,32966001986702441,185.8.104.18
Omnistake,32911422120241665,44.230.61.141
Anchorage Digital-1,30990070020839478,198.244.253.76
ZKValidator,30411122190526042,65.21.128.113
Stakely,29563322768379902,15.235.53.140
XPRV,28685917799680318,54.38.136.66
InfStones,28443074550856443,150.136.151.212
gumi,28292025690650707,13.230.215.202
Parasol,28291811234900827,43.130.125.249
Laine,28088333872919367,103.50.32.184
HashKey Cloud,27862157052486304,52.77.43.187
SpartanLabs,27858193668393876,5.199.170.96
QuantNode,27857646166867826,103.50.32.129
Moonlet,27857174097544039,103.219.171.14
Stakin,27839810677634375,93.115.25.75
flipside,27833639406747855,198.178.224.97
BLRD,27831455242207250,35.77.209.41
Node Guardians,27831396751601670,51.222.152.21
NodeReal,27830552570214198,3.223.7.119
TDMTech,27815035059474671,109.123.108.59
Staketab,27789309548045457,103.50.32.107
Forbole,27785019003996080,5.10.24.66
ComingChat,27769721768752651,45.32.11.180
Gaucho,27755411071453319,45.250.253.97
MoveFuns DAO,27751202353472439,135.181.228.230
Qredo,27746807855728646,65.108.111.57
H2O Nodes,27744551949576097,185.125.95.23
A41,27738055668844264,195.201.186.66
Nodeinfra,27717554812443397,34.80.99.216
RepublicCrypto,27607796154812831,91.210.226.206
SenseiNode,27556560765601204,69.67.148.48
MIDL.dev,26864535804785002,62.210.140.115
Latitude.sh,26708181854793200,103.219.168.185
