address,tokens
Polychain,1.286348605609396e+25
Figment Networks,1.2048477055345152e+25
Deutsche Telekom,1.190014111406047e+25
a16z,1.050135918105093e+25
Manta Labs,1.0336477996687285e+25
Anchorage Digital,9.034230844823695e+24
Binance-Staking-Group,8.04783880726828e+24
Bison Trails,6.048023293973662e+24
impactMarket,5.592673701700714e+24
,5.133446336136977e+24
GrassrootsEconomics,4.6899357551110635e+24
wotrust,4.5927643228543596e+24
Blockdaemon,4.2970243389896295e+24
Chorus One,4.0551845865894125e+24
DSRV,3.978219649634384e+24
Validator.Capital,3.775540919557479e+24
deDataLabs,3.7302975006670804e+24
ZanshinDojo.org,3.7005257820250703e+24
Staking Fund,3.5787123199706356e+24
missionquorum-group,3.5296204028152414e+24
Stake DAO,3.496626454249604e+24
cLabs,3.4813037619307806e+24
ChainLayer,3.453644285357065e+24
Easy2Stake Group,3.3841968595943096e+24
Cypher Core,3.3191828400062165e+24
Usopp | usopp.club,3.3032212162654857e+24
Perfect Stake,3.2684869055152233e+24
AG,3.263807810255561e+24
SeedBed,3.25470322985092e+24
celvaly,3.1511970258900483e+24
Ledger by Figment,3.0271634158793905e+24
TDlabs,2.9500535925137904e+24
Censusworks,2.8647135957208596e+24
StakeService.com,2.798054577059321e+24
moonli.me,2.7039635962345545e+24
Ryabina,2.6675012416610266e+24
Stakecito,2.66394069198458e+24
The Celo Group,2.653747093324967e+24
VladiatorLabs.io,2.5690992517000674e+24
Simply Staking,2.5440854051756444e+24
Virtual Hive,2.487843707589701e+24
Tessellated Geometry Alliance,2.480178756146819e+24
PlusV,2.469325231098419e+24
Kytzu Group,2.454375378916355e+24
AnyblockAnalyticsGroup,2.451904654371074e+24
ZKValidator,2.445742827116787e+24
huglester,2.4444827457435064e+24
🏢 Ministry Of Blocks 🏢,2.4088629819128102e+24
atweb3,2.3973813694426318e+24
nonce,2.3845064328308566e+24
Bi23 Labs,2.3468827850334516e+24
Projecttent,2.3324935485601317e+24
Goods & Services,2.3032162253004936e+24
swiftstaking,2.2962829888224304e+24
TPT,2.2723621186393493e+24
Masternode24.de,2.2669231533310735e+24
Stakely.io,2.261699895575235e+24
HashKey Cloud,2.182859749584922e+24
syncnode_group,2.1576538745264964e+24
HappyCelo,1.9456545820170023e+24
keyko.io,1.901438127367359e+24
Google Cloud Web3 Group,1.7236087578119747e+24
chainvibes,1.707924070044344e+24
Telefonica,1.685141621886344e+24
TeroLabs,1.648096289708829e+24
MoonletWallet,1.6357047013752886e+24
Making.cash,1.5578986494410237e+24
gunray,1.3305706925014708e+24
Bitcandy 🍬,1.3257793338482232e+24
AUDIT.one,1.313738454903739e+24
Eat Pray Validate 🍴🙏🖥,1.3034026867020407e+24
01node,1.1246541e+24
Polychain,5.382422236140798e+23
Nodito Labs,4.416694816063593e+23
Tango,2.238015318710124e+23
CoinList,1.0885712099291928e+23
Celo.Works,5.989144313176105e+22
bitManna,4.04e+22
Chainflow,2.115765393601071e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.0000007810583e+22
GoodLabs,2e+22
stake.fish 🐠,1e+22
,1010374548676417.0
dynamic,0.0
