address,tokens
Polychain,39134177889481
Go,34000109829976
Finoa Consensus Services,33311047758053
bitcoinsuisse.com,32994916771765
Chorus One,28715935063042
Unit 410,25447649795602
P2P.ORG,22927232227338
Coinbase Cloud,21327714350312
CUCK.,18498731265679
Little Dipper,12869202182463
Figment,12282575569538
P-OPS Team,11919609744681
Cosmostation,10820871249948
Twinstake,10490416176383
Keplr (formerly known as Blockapsis),9011165724560
Imperator.co,8634604067050
Nodes.Guru,7801667114596
AI,7377216588468
polkachu.com,6979859022546
Binary Builders,6876100018047
GalaxyDigital,6555514952421
Upnode | 0% Fee,6514787422737
Qubelabs,6424515046279
Staking Facilities,6076996929041
XPRV,5917764685995
Hex Technologies,5900970031980
01node,5878448710367
Baza,5779596149932
ZKValidator,5142206573306
senggigi,5000419936881
Nocturnal Labs,4929072046847
StakeWithUs,3747155426380
Stakecito,3525389430854
Validatus,3496830759090
MZONDER,3102303103895
BlackBlocks,2963591815520
Staked,2390909035671
BinanceNode,2130531286948
W3.Hitchhiker,1861303547417
NodeStake,1782835561227
 Lavender.Five Nodes 🐝,1703173261577
Allnodes,1689090963328
alphab.ai,1646079002068
LatamNodes,1561073832884
Node Guardians,1473139534767
Enigma,1430345632371
NakoTurk,1403646731036
 kjnodes.com 🦄,1403640575604
Easy 2 Stake,1250666815471
Forbole,1192894614382
Kiln,1188198752059
B-Harvest,1166945220899
Brightlystake,1112383120351
Stakin,1093637290316
Everstake,1050262188680
"Frens (🤝,🤝)",1006802126320
Stakely.io,971707535261
DSRV,943674460962
project blanc,920931846717
Larry Engineer,868601755922
StakeLab.zone,855574142748
Swiss Staking,818875883174
FreshSTAKING,814639317518
StakingCabin,796879082472
ContributionDAO,766918341722
BwareLabs,745969957594
Lemniscap,674020625888
KEK,625761348436
Staking4All,623526007197
Gunter,618661324907
Cumulo,610874175659
✅ CryptoCrew Validators,598758729251
Suntzu,590868899708
Validatrium.com,585664504549
BitNordic,582516837042
Maple Nodes,575239091544
LowFeeValidation,573577295781
moonli.me,572210914402
ChainodeTech,569577748635
0xFury,567883321566
KingSuper,560131983649
Moonlet,556469453472
Meria,552489444503
wavefive,548077037277
Conqueror,546520539538
[NODERS]TEAM,541856576954
Stake🦑Squid,540351947658
Staker Space,522581778953
spidey,512035998381
strangelove,508723401967
kooltek68,487389528034
Neoprom,481385946639
quantumcore,478943012007
counterpoint,478931889033
Neuler,478356903492
 Blockscope.net,465119199544
4sv,461326495304
Active Nodes,460933875844
PartnerStaking,456208063493
MH Ventures,371053897691
Blockdaemon,172391297518
AM Solutions 🪐,101029251777
Smart Stake 📈📊 | 5% max,14106376795
Crosnest,8780316031
 AutoStake 🛡️ Slash Protected,3791474026
Notional,2612189426
Witval,1523761579
nysa.network,1277640507
Anonstake,993344254
F5 Nodes,976175073
BloClick,969070418
[Please redelegate],579264870
INACTIVE,567513919
SG-1,400800000
KubikStaking,381600000
AVIAONE 🟢,312103277
HFA X Defi Dojo Validation,256200011
INACTIVE-DO NOT DELEGATE,250000000
Artifact,245600000
InfStones,167001715
POSTHUMAN∞DVS,127698867
BlockHunters 🎯,111572219
EU,105323006
Synergy Nodes,101541911
Huginn,93165308
GPvalidator,88898704
vortexray,87267411
T DATA,84245529
Bro_n_Bro,80091351
,76191973
WexclaW,72087333
Stake&Relax 🦥,71636875
ECO Stake 🌱,69942603
STAKEME,58971430
silent,58644209
Stakeflow,54506528
NachoNode,54104306
please Redelegate,51432854
securesecrets,49661363
Informal Systems,48713738
ValiDAO,44364292
TiaRocketKC,40553877
cryptonodes.pro,39473308
Kaizoku Labs,36168922
Multiplex,35599692
Sr20de,34020687
PowerStaking,33836227
jabbey,31178208
Kleomedes,29368494
StakePool,27709662
NacionCrypto - Parceros,25163127
Stake.Works | Celestia,25000000
Citizen Web3,24239000
Cosmos Spaces,22292100
node101,22202360
OmniFlix Network,22115401
0base.vc,21636129
Colossus,18432206
ITALY - Lowest Commission,17000000
AndromedaPool,16600000
RockX,15000000
AviaStake,14910489
Tessellated,11600000
0% EU Fast Validator,11500000
Wave,9351708
Architect Nodes,9000000
Ubik Capital,6000000
Brick,5864817
openstake.net,5000000
MrCoco,5000000
NodeX Emperor ⚡ Celestia,3605456
  Oni ⛩️,3000000
Inter Blockchain Services,2550000
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2000000
Avril14th,1000000
bg-0d,1000000
SquallNetwork,1000000
Farrari_TestNode,1000000
Node & Validator,1000000
Chainflow,1000000
PRYZM | StakeDrop,1000000
na,1000000
PathrockNetwork,1000000
Equinox,1000000
MAHOF,1000000
IcyCRO 🧊,1000000
Madrona,1000000
AiC DAO,1000000
iCosmosDAO,200000
this_is_moniker,10000
