address,tokens
Figment,273370797774758584
Blockdaemon,249656176946305191
Mysten-2,238696273917699647
P2P.ORG,229315008685592585
Luganodes,211177461170780565
Triton One,200383945920975005
Anchorage Digital-2,187134802201856116
Chorus One,186924560487675659
TrustedPoint,178788861755815507
ContributionDAO,158381553753419218
Blockscope.net,154890115306054288
Mysten-1,154833507628433885
StakingCabin,154663666332598828
Bware Labs,146586912398516131
mrgn,143822824968942843
Kiln,143698945581533240
Everstake,142278266710332364
Overclock,141585425574632045
Chainode Tech,141562020328207421
Shinlabs,140766261501719118
Dankuzone_w_DAIC,137911882556972898
Galaxy Digital,137866549731574587
Artifact,137800662550123390
Nelrann,137670750615208122
Ahoy Validator,137201384403445951
DSRV,135462834321787987
HashedPotatoes,125915246171215523
Chainbase,117836907522263120
BartestneT,117791522105351208
P-OPS Team,117783937408236464
Nodes.Guru,117764454242976505
TPT,117674194085609256
Durian,113271277745485688
Persimmon,113257911605346411
Aftermath,107855542156240750
Citadel.one,107755003756061143
Scale3Labs,107516920186959474
Cogent Crypto,94405833066638119
Coinbase Cloud,91391227253117662
BlockVision,65567762887290187
Staking Facilities,65296866100242394
proofgroup,55730519861409426
ORBR,52700262822090550
Juicy Stake,47876442535091388
Ankr,46311975625700391
KiligLab,45810857908159857
stakefish,45033364094230093
Cypher Capital,44096894549865656
Allnodes,43853295548119077
OKXEarn,42853274173240919
BiXinKelePool,42478154235552804
Staking Defense League,41753881086937791
n1stake,39775557836618023
StakeWithUs,38354148631559697
Brightlystake,37097419665633765
BlockEden.xyz,37022704171539153
Staked,36998537932566380
Peeranha,36086684725136431
SyncNode,36068647299367337
01node,35932349488820774
Stardust Staking,35928825386577613
Swiss Staking,35896991002705157
ANodes,35858496948578355
ONBUFF,35833166196144145
B-Harvest,35822606795059716
KingSuper,35807602167767528
Imperator.co,35795098318269952
Restake,35784717365572391
SynergyNodes,35779968668264345
Neuler,35773627946606508
Astro-Stakers,35769483078459106
[NODERS]TEAM x Criterion VC,35757020016572052
Cosmostation,35372540235188496
Chainflow,32753007384647227
Omnistake,32712945770894402
Stakely,30969075630769650
Anchorage Digital-1,30892850580355179
ZKValidator,30013136627066773
XPRV,28524491355714606
InfStones,28179150056037986
Parasol,28148633709787656
gumi,28129011885395423
Laine,27933928770720115
Forbole,27734388070642700
Moonlet,27718328163976036
QuantNode,27694098666979475
SpartanLabs,27691677709251240
Stakin,27684524843037505
flipside,27680797567638905
HashQuark,27679508254044888
BLRD,27673318497138892
NodeReal,27667077998487718
Qredo,27660881675401575
TDMTech,27660065361574365
Staketab,27657299954549650
ComingChat,27633449486871247
A41,27612150775653053
Gaucho,27610104615110835
Nodeinfra,27596755990329313
Node Guardians,27595242611635842
H2O Nodes,27593657845965707
MoveFuns DAO,27586239244995695
RepublicCrypto,27469315980390661
SenseiNode,27396857992473661
MIDL.dev,26599372996393583
Latitude.sh,26568645138315766
